"","curDur","W_P_G","mu_r","sig_r","predY","W_DL_PL","sig2_DL","log_lik","W_L","W_Ds","W_P_S","W_P_L","NSub","exp","model","group"
"29",0.68,0,0.591267506988275,0.103706129964037,0.591286780766386,0.893996793888153,0,0.848109218133427,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"30",0.69,0,0.592327539049393,0.103706129964037,0.591226807924862,0.893996793888153,0,0.846058083122682,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"31",0.7,0,0.593387571110512,0.103706129964037,0.592671924028288,0.893996793888153,0,0.836698998041249,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"32",0.71,0,0.59444760317163,0.103706129964037,0.593969652158259,0.893996793888153,0,0.827100759346969,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"33",0.72,0,0.595507635232749,0.103706129964037,0.594299679578245,0.893996793888153,0,0.858488310462119,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"34",0.73,0,0.596567667293867,0.103706129964037,0.59748577266633,0.893996793888153,0,0.84956854201654,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"35",0.74,0,0.597627699354986,0.103706129964037,0.596825220415513,0.893996793888153,0,0.845338932376201,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"36",0.75,0,0.598687731416104,0.103706129964037,0.597538610078336,0.893996793888153,0,0.855352392345898,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"37",0.76,0,0.599747763477222,0.103706129964037,0.599983628938972,0.893996793888153,0,0.848695541834669,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"38",0.77,0,0.600807795538341,0.103706129964037,0.601043430763405,0.893996793888153,0,0.837265021663702,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"39",0.78,0,0.601867827599459,0.103706129964037,0.602329117332775,0.893996793888153,0,0.860311884763073,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"40",0.79,0,0.602927859660578,0.103706129964037,0.602931792882264,0.893996793888153,0,0.844841613634413,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"41",0.8,0,0.603987891721696,0.103706129964037,0.602390077505876,0.893996793888153,0,0.850489243946178,0.893996793888153,0.106003206111847,0.893996793888153,0,1,"Exp1","IP","mixed"
"42",1.2,0,1.42639406588259,0.225175939235998,1.42247413940507,0.437734076454197,0,0.07734343754128,0.437734076454197,0.562265923545803,0,0.437734076454197,1,"Exp1","IP","mixed"
