"","trialnum","group","interval","targetDur","phyTargetDur","RP","NSub","NT","Exp","NB","repError","valid","firstLoc","order"
"51",51,1,10,0.666666666666667,0.670454499995685,0.644781500013778,2,51,"Exp3",2,-0.021885166652889,1,"2","1"
"52",52,1,4,0.560597610169143,0.564208700001473,0.654865500007872,2,52,"Exp3",2,0.094267889838729,1,"2","1"
"53",53,1,4,0.560597610169143,0.564925299986498,0.675210500005051,2,53,"Exp3",2,0.114612889835908,1,"2","1"
"54",54,1,1,0.333333333333333,0.341477900001337,0.42674030001217,2,54,"Exp3",2,0.093406966678837,1,"2","1"
"55",55,1,6,0.333333333333333,0.341019399987999,0.367880699996022,2,55,"Exp3",2,0.034547366662689,1,"2","1"
"56",56,1,9,0.560597610169143,0.564604500003043,0.285009200000786,2,56,"Exp3",2,-0.275588410168357,1,"2","1"
"57",57,1,9,0.560597610169143,0.564575199998217,0.479919600009453,2,57,"Exp3",2,-0.08067801015969,1,"2","1"
"58",58,1,4,0.560597610169143,0.564622399993823,0.613568000000669,2,58,"Exp3",2,0.052970389831526,1,"2","1"
"59",59,1,7,0.396402371667573,0.399459499996738,0.448899399998481,2,59,"Exp3",2,0.052497028330908,1,"2","1"
"60",60,1,1,0.333333333333333,0.341073800009326,0.385054600003059,2,60,"Exp3",2,0.051721266669726,1,"2","1"
"61",61,1,3,0.471404520791032,0.482134799996857,0.428909900016151,2,61,"Exp3",2,-0.042494620774881,1,"2","1"
"62",62,1,7,0.396402371667573,0.400250799997593,0.450720399996499,2,62,"Exp3",2,0.054318028328926,1,"2","1"
"63",63,1,10,0.666666666666667,0.670499100000598,0.671909100012272,2,63,"Exp3",2,0.00524243334560504,1,"2","1"
"64",64,1,3,0.471404520791032,0.482353900006274,0.538640100014163,2,64,"Exp3",2,0.0672355792231309,1,"2","1"
"65",65,1,9,0.560597610169143,0.564167899996391,0.585857600002782,2,65,"Exp3",2,0.025259989833639,1,"2","1"
