"","NSub","curDur","exp","group","model","mu_r","sig_r","log_lik","W_P_G","W_L","W_Ds","part"
"4117",10,1.45,"Exp2","mixed","LGM",1.32892095160585,0.175465087889581,0.322705427146746,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4118",10,1.46,"Exp2","mixed","LGM",1.33446282004162,0.17602089573684,0.324538769351609,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4119",10,1.47,"Exp2","mixed","LGM",1.3399897931437,0.176575766100165,0.310864593283383,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4120",10,1.48,"Exp2","mixed","LGM",1.34550201211374,0.177129703493109,0.315665794458392,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4121",10,1.49,"Exp2","mixed","LGM",1.35099961587044,0.177682712409929,0.312861816382301,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4122",10,1.5,"Exp2","mixed","LGM",1.35648274110153,0.178234797325158,0.310599449580057,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4123",10,1.51,"Exp2","mixed","LGM",1.3619515223142,0.178785962693202,0.303849536961659,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4124",10,1.52,"Exp2","mixed","LGM",1.36740609188411,0.179336212947967,0.300081068766937,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4125",10,1.53,"Exp2","mixed","LGM",1.37284658010293,0.179885552502513,0.298169470910344,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4126",10,1.54,"Exp2","mixed","LGM",1.37827311522456,0.180433985748733,0.293889611607412,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4127",10,1.55,"Exp2","mixed","LGM",1.38368582351002,0.180981517057056,0.291101712056465,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4128",10,1.56,"Exp2","mixed","LGM",1.38908482927104,0.181528150776176,0.28536498145394,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4129",10,1.57,"Exp2","mixed","LGM",1.39447025491247,0.182073891232796,0.287557208488319,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4130",10,1.58,"Exp2","mixed","LGM",1.39984222097348,0.182618742731402,0.288165812786087,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4131",10,1.59,"Exp2","mixed","LGM",1.40520084616758,0.18316270955405,0.2805118351438,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
