"","NSub","Exp","priortype","range","m_m_BIAS","m_m_err","m_m_RP","m_sd_RP","m_sd_err","m_se_RP","m_se_err","m_sd_BIAS","m_se_BIAS","m_CV","n","se_CV","m_NBIAS","m_NRMSE"
"25","4","Exp1","BR","long",0.183914942566667,-0.08080654634,1.667644656,0.205124077841173,0.205124054361309,0.0380905850029726,0.0380905806428713,0.205124054361309,0.0244645173369667,0.125378728722655,5,0.0145885377769874,0.106816226415948,0.164768337360637
"26","4","Exp1","BR","short",0.119833117066366,-0.0471561254520071,0.535660951260831,0.0787081094928418,0.0787081089871726,0.0150196148448598,0.0150196147392311,0.0787081089871726,0.0127985268075397,0.147901958735271,5,0.0188014898825651,0.201840640232329,0.252474168551593
"27","4","Exp1","IR","long",0.150559839814286,-0.0303422447571429,1.71810905714286,0.183396605261989,0.183396562750387,0.050865066462933,0.0508650546723362,0.183396562750387,0.0301512850931115,0.111406530796095,5,0.0133001589906795,0.091039978043402,0.143908021909976
"28","4","Exp1","IR","short",0.0721783546257143,-0.00578566740285714,0.577031411428571,0.0745957545801964,0.0745957532332836,0.020689139851602,0.0206891394780356,0.0745957532332836,0.0153531240855528,0.129580684662866,5,0.00582498808270443,0.129334345090723,0.185041204674969
"29","4","Exp2","BR","long",0.17293278497292,0.0131085956442148,1.62921102364968,0.180807052588419,0.180807052588419,0.0335750267752024,0.0335750267752024,0.180807052588419,0.0214822239799713,0.111121229338888,5,0.00888714246324225,0.108224056868416,0.155590659875175
"30","4","Exp2","BR","short",0.0860593491089718,-0.0181536706789918,0.587823056524278,0.0860628422846551,0.0860628422846551,0.0162120121386648,0.0162120121386648,0.0860628422846551,0.0101195154605391,0.146728606518451,5,0.00689704900010336,0.142072740170475,0.204888966618557
"31","4","Exp2","IR","long",0.123682004713511,0.0550835776408896,1.67118600564635,0.137059092733119,0.137059092733119,0.0396789499047255,0.0396789499047255,0.137059092733119,0.0249065982705464,0.0828681448505325,5,0.00798535853200445,0.0784460035525839,0.114180961654167
"32","4","Exp2","IR","short",0.0839210322387461,0.0241305514958659,0.630107278699136,0.0868240883420466,0.0868240883420466,0.0240806694202049,0.0240806694202049,0.0868240883420466,0.0158314614289434,0.138634120378992,5,0.0112871314655593,0.142997906207163,0.199737861961177
"33","5","Exp1","BR","long",0.291488054963893,-0.17176763340644,1.57668359776866,0.275856433912481,0.275856472200075,0.0528812281599547,0.052881235407332,0.275856472200075,0.0351004293605014,0.172937309981248,5,0.0101024599911208,0.15961292769661,0.235819821289457
"34","5","Exp1","BR","short",0.117605323816267,0.0161723434269968,0.598989418930333,0.0953032090613601,0.0953032075043293,0.0184045109646862,0.0184045106771273,0.0953032075043293,0.0132069690452743,0.15891206182365,5,0.0223197538532787,0.206058191760143,0.262900135253276
"35","5","Exp1","IR","long",0.326062869142857,-0.180575950285714,1.56787531642857,0.326502451195964,0.326502420456236,0.0917797747951982,0.0917797665777165,0.326502420456236,0.0610082687479668,0.210011671677475,5,0.010720696831991,0.18710035917334,0.281465422829738
"36","5","Exp1","IR","short",0.179905247187879,0.116980166654545,0.699797225780886,0.194912362764356,0.194912385956442,0.058754044776487,0.0587540516627689,0.194912385956442,0.0453945973846707,0.280694010729099,5,0.0247027527620329,0.328308550039072,0.437675334980751
"37","5","Exp2","BR","long",0.173576656534963,-0.043575306669479,1.57252712133599,0.209748732600657,0.209748732600657,0.0393449389720022,0.0393449389720022,0.209748732600657,0.0253820018600352,0.133179187361313,5,0.00697312739006979,0.107482837843315,0.171193952388001
"38","5","Exp2","BR","short",0.0699449304780484,-0.022494759212867,0.583481967990403,0.0582616030658621,0.0582616030658621,0.0109350889387948,0.0109350889387948,0.0582616030658621,0.00832069103336392,0.100275966030224,5,0.0088478298644789,0.114624031582844,0.153312436707426
"39","5","Exp2","IR","long",0.145622437919078,-0.0392206633851504,1.57688176462031,0.160928295278001,0.160928295278001,0.0446334784844493,0.0446334784844493,0.160928295278001,0.0294666246946429,0.101543264256918,5,0.0118941848343735,0.0885630823873101,0.134817307783313
"40","5","Exp2","IR","short",0.0706377589381329,0.00658413453676661,0.612560861740037,0.0768796887321161,0.0768796887321161,0.0215430934782191,0.0215430934782191,0.0768796887321161,0.0129424821318898,0.126032669352156,5,0.0123956509000319,0.119650873757246,0.174168073037248
"41","6","Exp1","BR","long",0.258966345148703,-0.100020081973005,1.64843117743842,0.240265669214367,0.240265683567351,0.0452655000386532,0.0452655027773053,0.240265683567351,0.0332267485971324,0.146215886381423,5,0.00811534281040763,0.145875914057943,0.207943709773581
"42","6","Exp1","BR","short",0.117673467859369,-0.00377179543573728,0.579045287441708,0.0629570825862857,0.0629570798675862,0.0118709649852271,0.0118709644777818,0.0629570798675862,0.010796953526907,0.109184572761654,5,0.0118718023076856,0.210266925849884,0.239233867343566
"43","6","Exp1","IR","long",0.314470294826374,-0.259510432283517,1.48894084010989,0.197941612589881,0.197941607971578,0.0554819963172659,0.0554819951827928,0.197941607971578,0.0468823621763655,0.132731447239156,5,0.00502582319493971,0.170763883907545,0.217945642700749
"44","6","Exp1","IR","short",0.1505891539,0.106213867328571,0.689030955714286,0.126507827793039,0.126507813082383,0.0350869584504131,0.0350869543704113,0.126507813082383,0.0253676497472906,0.184842967504667,5,0.0239011031462819,0.285285456998311,0.345368265162607
"45","6","Exp2","BR","long",0.255823792008932,-0.0858642348708041,1.53023819313466,0.253641237347309,0.253641237347309,0.0476877120745506,0.0476877120745506,0.253641237347309,0.030352345626575,0.165866345287569,5,0.0101423371117587,0.156004093569691,0.228286451712748
