"","NSub","targetDur","Exp","priortype","range","m_err","m_RP","m_BIAS","n","se_err","sd_err","se_RP","sd_RP","CV","NBIAS","NRMSE"
"39","1",2.4,"Exp1","BR","long",-0.279230368114987,2.12076963188501,0.304310009050181,30,0.0505038000079673,0.271971286429465,0.0505038000079673,0.271971286429465,0.128241786538469,0.126795837104242,0.180341731503121
"40","1",2.4,"Exp1","IR","long",-0.59995043036371,1.80004956963629,0.59995043036371,14,0.094975859492818,0.342440331332619,0.094975859492818,0.342440331332619,0.19023938957515,0.249979345984879,0.314134841692152
"41","2",0.4,"Exp1","BR","short",0.0957968242531933,0.495796824253193,0.0994036281545171,30,0.0127833889984916,0.0688406565505871,0.0127833889984915,0.0688406565505871,0.138848522586404,0.248509070386293,0.28466764882699
"42","2",0.4,"Exp1","IR","short",0.0440814629952701,0.44408146299527,0.0847497256601435,13,0.0275091782235702,0.0952945887153818,0.0275091782235702,0.0952945887153818,0.214588080467562,0.211874314150359,0.301560556564412
"43","2",0.475682846001088,"Exp1","BR","short",0.0377116718584968,0.513394517859585,0.0548941317119361,30,0.0113205856405596,0.0609632193876939,0.0113205856405596,0.0609632193876939,0.118745364952198,0.115400696437581,0.16558315867234
"44","2",0.475682846001088,"Exp1","IR","short",0.0645198608760002,0.540202706877088,0.0645198608760002,14,0.00779015496719472,0.0280878031780311,0.00779015496719472,0.0280878031780311,0.0519949323105148,0.135636299308242,0.145260726543723
"45","2",0.4912,"Exp2","BR","short",0.100603605886525,0.591803605886525,0.115869708982592,30,0.0159880538467246,0.0860983049099526,0.0159880538467246,0.0860983049099526,0.145484589910494,0.235891101348925,0.277146852042438
"46","2",0.4912,"Exp2","IR","short",0.113579929611271,0.604779929611271,0.113579929611271,14,0.0140314192116756,0.0505910014352268,0.0140314192116756,0.0505910014352268,0.0836519185875509,0.23122949839428,0.245895759237627
"47","2",0.542862864224572,"Exp2","BR","short",0.0883877537605856,0.631250617985158,0.0998264170842528,30,0.0146018746418274,0.0786335014393588,0.0146018746418274,0.0786335014393588,0.12456780112207,0.183888830242322,0.222108619743307
"48","2",0.542862864224572,"Exp2","IR","short",0.0738820318042072,0.616744896028779,0.0867175362821915,14,0.0239261049934874,0.086266798376154,0.0239261049934874,0.086266798376154,0.139874361233674,0.159741146423893,0.212325388946654
"49","2",0.565685424949238,"Exp1","BR","short",-2.75236496410501e-05,0.565657901299597,0.0604131068364857,29,0.0138755568501476,0.0734225454560585,0.0138755568501476,0.0734225454560585,0.129800264943476,0.106796293791566,0.168087944680787
"50","2",0.565685424949238,"Exp1","IR","short",0.0259585555803868,0.591643980529625,0.0589900248700126,14,0.0188082489742581,0.0678141060783806,0.0188082489742581,0.0678141060783806,0.114619785394715,0.104280616519872,0.154958517628736
"51","2",0.599959465297448,"Exp2","BR","short",0.0289097700897258,0.628869235387174,0.0545180031496354,30,0.0120921690917379,0.0651183234347464,0.0120921690917379,0.0651183234347464,0.103548273266469,0.0908694775281301,0.137766130970942
"52","2",0.599959465297448,"Exp2","IR","short",0.047113665537094,0.647073130834542,0.057718816410848,14,0.0200341915147933,0.0722343047690527,0.0200341915147933,0.0722343047690527,0.111632366307485,0.0962045267212047,0.147367215380693
"53","2",0.663061306494331,"Exp2","BR","short",0.0108757358115359,0.673937042305867,0.0552826562939337,30,0.0128086798846052,0.0689768521404278,0.0128086798846052,0.0689768521404278,0.102349103566743,0.0833748791438584,0.132010262756988
