"","NSub","Exp","priortype","range","minRP","slope","inP","maxDur","mixDur","inPOutlier","CI"
"44","6","Exp1","IR","short",0.369699669752125,0.547909983901571,0.817756766545435,2.4,0.4,"FALSE",0.452090016098429
"45","6","Exp2","BR","long",1.06960055591597,0.28551690459857,1.49702709945155,1.954332247557,0.4912,"FALSE",0.71448309540143
"46","6","Exp2","BR","short",0.625611530760857,0.0438961222220506,0.654334267752183,1.954332247557,0.4912,"FALSE",0.956103877777949
"47","6","Exp2","IR","long",0.826610679021718,0.365906660246222,1.3036104106419,1.954332247557,0.4912,"FALSE",0.634093339753778
"48","6","Exp2","IR","short",0.880357744373327,0.0401640219077384,0.917196025640857,1.954332247557,0.4912,"FALSE",0.959835978092262
"49","7","Exp1","BR","long",0.307414511298528,0.833711349050791,1.84868004848042,2.4,0.4,"FALSE",0.166288650949209
"50","7","Exp1","BR","short",0.223403005667716,0.602825751989588,0.562481094347939,2.4,0.4,"FALSE",0.397174248010412
"51","7","Exp1","IR","long",0.257016004851356,0.874199435138923,2.04304332921859,2.4,0.4,"FALSE",0.125800564861077
"52","7","Exp1","IR","short",-0.0639158155617199,1.23345727037642,0.27377950345545,2.4,0.4,"TRUE",-0.233457270376416
"53","7","Exp2","BR","long",0.930253751397543,0.431118414390766,1.6352326651623,1.954332247557,0.4912,"FALSE",0.568881585609234
"54","7","Exp2","BR","short",0.430553605344617,0.348817001373791,0.661186803483735,1.954332247557,0.4912,"FALSE",0.651182998626209
"55","7","Exp2","IR","long",1.02932749112088,0.200565449972333,1.28756943402717,1.954332247557,0.4912,"FALSE",0.799434550027667
"56","7","Exp2","IR","short",0.353872202643234,0.545895729768781,0.779275214617672,1.954332247557,0.4912,"FALSE",0.454104270231219
"57","8","Exp1","BR","long",0.79904653717381,0.496864208290474,1.58813296597099,2.4,0.4,"FALSE",0.503135791709526
"58","8","Exp1","BR","short",0.430654534380699,0.310933977832813,0.624982977721414,2.4,0.4,"FALSE",0.689066022167187
"59","8","Exp1","IR","long",0.629291260848165,0.415414534063294,1.07647435236835,2.4,0.4,"FALSE",0.584585465936706
"60","8","Exp1","IR","short",0.230723661280861,0.969480526064484,7.55988329839335,2.4,0.4,"TRUE",0.0305194739355164
"61","8","Exp2","BR","long",1.29321664072528,0.187428572431745,1.59151133900367,1.954332247557,0.4912,"FALSE",0.812571427568255
"62","8","Exp2","BR","short",0.496482791979339,0.288385398335142,0.69768494184604,1.954332247557,0.4912,"FALSE",0.711614601664857
"63","8","Exp2","IR","long",0.922004668397385,0.222468109650534,1.18580945661661,1.954332247557,0.4912,"FALSE",0.777531890349466
"64","8","Exp2","IR","short",0.735216066954396,0.0491796082511091,0.773243898989247,1.954332247557,0.4912,"FALSE",0.950820391748891
"65","9","Exp1","BR","long",0.909504347743379,0.434015165670027,1.6069411980271,2.4,0.4,"FALSE",0.565984834329973
"66","9","Exp1","BR","short",0.254887521338872,0.615399149236715,0.662732598830756,2.4,0.4,"FALSE",0.384600850763285
"67","9","Exp1","IR","long",0.592825249542305,0.648395616164081,1.68605761701468,2.4,0.4,"FALSE",0.351604383835919
"68","9","Exp1","IR","short",0.306026330813018,0.601242137457795,0.767449019969174,2.4,0.4,"FALSE",0.398757862542205
"69","9","Exp2","BR","long",0.305127526003773,0.785681898755227,1.42371327588091,1.954332247557,0.4912,"FALSE",0.214318101244773
"70","9","Exp2","BR","short",0.270496446683067,0.616707782478346,0.70571859880715,1.954332247557,0.4912,"FALSE",0.383292217521654
"71","9","Exp2","IR","long",0.284779917175922,0.776590542502565,1.27469947049664,1.954332247557,0.4912,"FALSE",0.223409457497435
"72","9","Exp2","IR","short",0.243419182647085,0.633120289065453,0.663484993561042,1.954332247557,0.4912,"FALSE",0.366879710934547
