"","trialnum","group","interval","targetDur","phyTargetDur","RP","NSub","NT","Exp","NB","repError","valid","firstLoc","order"
"145",145,2,7,1.42704853800327,1.44651130967031,1.41389103654728,9,145,"Exp1",6,-0.0131575014559899,1,"2","2"
"146",146,2,5,2.4,2.41112400051134,1.44587222701011,9,146,"Exp1",6,-0.95412777298989,1,"2","2"
"147",147,2,4,2.01815139660892,2.03465987018717,1.92588491598144,9,147,"Exp1",6,-0.09226648062748,1,"2","2"
"148",148,2,9,2.01815139660892,2.03468506153149,1.8059657148915,9,148,"Exp1",6,-0.21218568171742,1,"2","2"
"149",149,2,5,2.4,2.41103225425104,2.01400921816821,9,149,"Exp1",6,-0.38599078183179,1,"2","2"
"150",150,2,5,2.4,2.41103194324751,2.17385794569418,9,150,"Exp1",6,-0.22614205430582,1,"2","2"
"151",151,2,6,1.2,1.21142691866044,1.63790305375369,9,151,"Exp1",6,0.43790305375369,1,"2","2"
"152",152,2,3,1.69705627484772,1.71715281816432,1.93394801252725,9,152,"Exp1",6,0.23689173767953,1,"2","2"
"153",153,2,7,1.42704853800327,1.44665996970798,1.42190965948248,9,153,"Exp1",6,-0.00513887852078998,1,"2","2"
"154",154,2,8,1.69705627484772,1.71709901442591,1.4219494680292,9,154,"Exp1",6,-0.27510680681852,1,"2","2"
"155",155,2,5,2.4,2.41106459869843,1.81388326144224,9,155,"Exp1",6,-0.58611673855776,1,"2","2"
"156",156,2,10,2.4,2.41103598630434,1.91783550362379,9,156,"Exp1",6,-0.48216449637621,1,"2","2"
"157",157,2,7,1.42704853800327,1.44664597451629,1.67781547495179,9,157,"Exp1",6,0.25076693694852,1,"2","2"
"158",158,2,2,1.42704853800327,1.44654272109983,1.98987124423729,9,158,"Exp1",6,0.56282270623402,1,"2","2"
"159",159,2,1,1.2,1.21139208618479,1.48579739938214,9,159,"Exp1",6,0.28579739938214,1,"2","2"
"160",160,2,9,2.01815139660892,2.03469905672682,1.62992330635097,9,160,"Exp1",6,-0.38822809025795,1,"2","2"
"161",161,2,4,2.01815139660892,2.03467355437169,1.98982801464444,9,161,"Exp1",6,-0.0283233819644799,1,"2","2"
"162",162,2,10,2.4,2.4110428283966,2.10192576950431,9,162,"Exp1",6,-0.29807423049569,1,"2","2"
"163",163,2,4,2.01815139660892,2.03470496580485,2.05383486917708,9,163,"Exp1",6,0.0356834725681598,1,"2","2"
"164",164,2,1,1.2,1.21143469376693,1.37387629494697,9,164,"Exp1",6,0.17387629494697,1,"2","2"
"165",165,2,10,2.4,2.41102261311971,2.32592970059704,9,165,"Exp1",6,-0.0740702994029601,1,"2","2"
"166",166,2,2,1.42704853800327,1.44658097462525,1.6700018038282,9,166,"Exp1",6,0.24295326582493,1,"2","2"
"167",167,2,3,1.69705627484772,1.7171322918839,1.91787531217051,9,167,"Exp1",6,0.22081903732279,1,"2","2"
"168",168,2,3,1.69705627484772,1.71714473205429,1.79781802518482,9,168,"Exp1",7,0.1007617503371,1,"2","2"
"169",169,2,6,1.2,1.21142225360018,1.48585991124128,9,169,"Exp1",7,0.28585991124128,1,"2","2"
"170",170,2,1,1.2,1.21138648810665,1.26191009488684,9,170,"Exp1",7,0.0619100948868401,1,"2","2"
"171",171,2,10,2.4,2.41103318726528,1.98196396082858,9,171,"Exp1",7,-0.41803603917142,1,"2","2"
