"","trialnum","group","interval","targetDur","phyTargetDur","RP","NSub","NT","Exp","NB","repError","valid","firstLoc","order"
"23",23,2,1,1.2,1.21115969284256,1.14990774481339,13,23,"Exp1",0,-0.0500922551866099,0,"1","2"
"24",24,2,5,2.4,2.410597777156,2.86179440130581,13,24,"Exp1",1,0.46179440130581,1,"1","2"
"25",25,2,3,1.69705627484772,1.7050262966477,1.18189321238424,13,25,"Exp1",1,-0.51516306246348,1,"1","2"
"26",26,2,7,1.42704853800327,1.43459644109862,1.81394573165744,13,26,"Exp1",1,0.38689719365417,1,"1","2"
"27",27,2,4,2.01815139660892,2.0343627553284,2.31780882426392,13,27,"Exp1",1,0.299657427655,1,"1","2"
"28",28,2,5,2.4,2.4106643312607,2.65378638744551,13,28,"Exp1",1,0.25378638744551,1,"1","2"
"29",29,2,1,1.2,1.21121349592795,0.597982014220179,13,29,"Exp1",1,-0.602017985779821,1,"1","2"
"30",30,2,6,1.2,1.21115502783505,1.33387199966091,13,30,"Exp1",1,0.13387199966091,1,"1","2"
"31",31,2,6,1.2,1.21120012290703,0.92595007073578,13,31,"Exp1",1,-0.27404992926422,1,"1","2"
"32",32,2,8,1.69705627484772,1.7127095637934,1.45887367129035,13,32,"Exp1",1,-0.23818260355737,1,"1","2"
"33",33,2,4,2.01815139660892,2.03434347329676,1.82190081323461,13,33,"Exp1",1,-0.19625058337431,1,"1","2"
"34",34,2,8,1.69705627484772,1.70506299470435,1.42987411943977,13,34,"Exp1",1,-0.26718215540795,1,"1","2"
"35",35,2,5,2.4,2.41056170109914,2.22549734732092,13,35,"Exp1",1,-0.17450265267908,1,"1","2"
"36",36,2,9,2.01815139660892,2.03433694228625,2.55838947462325,13,36,"Exp1",1,0.54023807801433,1,"1","2"
"37",37,2,7,1.42704853800327,1.43461261312223,1.98797103279139,13,37,"Exp1",1,0.56092249478812,1,"1","2"
"38",38,2,7,1.42704853800327,1.43456036503994,1.50192422535292,13,38,"Exp1",1,0.0748756873496499,1,"1","2"
"39",39,2,2,1.42704853800327,1.43460266110742,1.60582233661626,13,39,"Exp1",1,0.17877379861299,1,"1","2"
"40",40,2,2,1.42704853800327,1.43457809206848,1.35795370073356,13,40,"Exp1",1,-0.06909483726971,1,"1","2"
"41",41,2,10,2.4,2.41073866037914,0.189958077133269,13,41,"Exp1",1,-2.21004192286673,1,"1","2"
"42",42,2,10,2.4,2.41061861418893,2.30184299202483,13,42,"Exp1",1,-0.0981570079751699,1,"1","2"
"43",43,2,10,2.4,2.41063136520825,2.37382125682234,13,43,"Exp1",1,-0.0261787431776601,1,"1","2"
"44",44,2,6,1.2,1.21119141489362,1.38187865756117,13,44,"Exp1",1,0.18187865756117,1,"1","2"
"45",45,2,3,1.69705627484772,1.70507045871636,1.71799617096258,13,45,"Exp1",1,0.0209398961148599,1,"1","2"
"46",46,2,4,2.01815139660892,2.03435342531156,1.91789733500627,13,46,"Exp1",1,-0.10025406160265,1,"1","2"
"47",47,2,1,1.2,1.21115658283816,1.2618912468588,13,47,"Exp1",1,0.0618912468588,1,"1","2"
"48",48,2,7,1.42704853800327,1.43455321202782,1.70991264618169,13,48,"Exp1",2,0.28286410817842,1,"1","2"
"49",49,2,9,2.01815139660892,2.03432761227305,1.90186899166474,13,49,"Exp1",2,-0.11628240494418,1,"1","2"
"50",50,2,8,1.69705627484772,1.70506454970746,1.78186540893876,13,50,"Exp1",2,0.08480913409104,1,"1","2"
"51",51,2,1,1.2,1.21116093684577,1.13389121949331,13,51,"Exp1",2,-0.06610878050669,1,"1","2"
"52",52,2,3,1.69705627484772,1.70519392591268,1.50985162788493,13,52,"Exp1",2,-0.18720464696279,1,"1","2"
"53",53,2,10,2.4,2.4106049301663,2.32587089001208,13,53,"Exp1",2,-0.0741291099879198,1,"1","2"
"54",54,2,3,1.69705627484772,1.70520263392609,1.84588175014869,13,54,"Exp1",2,0.14882547530097,1,"1","2"
"55",55,2,9,2.01815139660892,2.02209440793195,2.34167251399413,13,55,"Exp1",2,0.32352111738521,1,"1","2"
"56",56,2,5,2.4,2.41060772917081,2.55775347861891,13,56,"Exp1",2,0.15775347861891,1,"1","2"
"57",57,2,9,2.01815139660892,2.03431890425964,2.00575435190694,13,57,"Exp1",2,-0.0123970447019799,1,"1","2"
"58",58,2,2,1.42704853800327,1.43460825911643,1.34189581234568,13,58,"Exp1",2,-0.0851527256575901,1,"1","2"
"59",59,2,4,2.01815139660892,2.03427505318905,2.18189849939154,13,59,"Exp1",2,0.16374710278262,1,"1","2"
"60",60,2,6,1.2,1.21124708398202,1.1099043735685,13,60,"Exp1",2,-0.0900956264315,1,"1","2"
"61",61,2,3,1.69705627484772,1.70505677469555,0.365983733428948,13,61,"Exp1",2,-1.33107254141877,1,"1","2"
"62",62,2,1,1.2,1.21123277795959,1.14990681181371,13,62,"Exp1",2,-0.05009318818629,1,"1","2"
"63",63,2,8,1.69705627484772,1.7050303396536,1.82987704284642,13,63,"Exp1",2,0.1328207679987,1,"1","2"
"64",64,2,5,2.4,2.41058440413326,2.55783122874163,13,64,"Exp1",2,0.15783122874163,1,"1","2"
"65",65,2,4,2.01815139660892,2.0342999332297,2.14182733003872,13,65,"Exp1",2,0.1236759334298,1,"1","2"
"66",66,2,8,1.69705627484772,1.70502878465049,1.70984080506787,13,66,"Exp1",2,0.0127845302201499,1,"1","2"
"67",67,2,4,2.01815139660892,2.03434129629204,1.86989720811835,13,67,"Exp1",2,-0.14825418849057,1,"1","2"
"68",68,2,7,1.42704853800327,1.43461292412212,1.62985925361863,13,68,"Exp1",2,0.20281071561536,1,"1","2"
"69",69,2,2,1.42704853800327,1.43463811516267,1.66186244821438,13,69,"Exp1",2,0.23481391021111,1,"1","2"
"70",70,2,10,2.4,2.4105968441545,1.92791714884697,13,70,"Exp1",2,-0.47208285115303,1,"1","2"
"71",71,2,4,2.01815139660892,2.03431703825663,1.44594755785329,13,71,"Exp1",2,-0.57220383875563,1,"1","2"
"72",72,2,1,1.2,1.21118270688021,1.09387727423018,13,72,"Exp1",3,-0.10612272576982,1,"1","2"
"73",73,2,6,1.2,1.21120634291765,1.09389935526451,13,73,"Exp1",3,-0.10610064473549,1,"1","2"
"74",74,2,7,1.42704853800327,1.43462598614315,1.20586046527569,13,74,"Exp1",3,-0.22118807272758,1,"1","2"
"75",75,2,6,1.2,1.21121380692966,1.2698640554645,13,75,"Exp1",3,0.0698640554645,1,"1","2"
"76",76,2,7,1.42704853800327,1.43467232521652,1.64586675992541,13,76,"Exp1",3,0.21881822192214,1,"1","2"
"77",77,2,1,1.2,1.21119421389812,1.20588254631002,13,77,"Exp1",3,0.00588254631002005,1,"1","2"
