"","Nsub","Exp","model","m_mu_p_g","m_sig2_p_g","m_mu_p_s_IR","m_mu_p_l_IR","m_sig_pr2_l_IR"
"72",9,"Exp2","PIM",1.00720663308669,0,0,0,0
"73",10,"Exp1","DIM",1.07257486227785,0,0,0,0
"74",10,"Exp1","IP",0,0.0024724057622904,0.727241125252462,2.05090578818137,0.0545604445684259
"75",10,"Exp1","LGM",1.1294091219313,0,0,0,0
"76",10,"Exp1","PIM",1.1266139433038,0,0,0,0
"77",10,"Exp2","DIM",0.658211754123888,0,0,0,0
"78",10,"Exp2","IP",0,0.00181250653755774,0.730967662435611,1.10627926079034,0.0806041312666279
"79",10,"Exp2","LGM",1.22443980114156,0,0,0,0
"80",10,"Exp2","PIM",1.22394170988915,0,0,0,0
"81",11,"Exp1","DIM",1.60080245869161,0,0,0,0
"82",11,"Exp1","IP",0,0.330426039358343,0.880324604225467,1.86243235476194,0.40285243081852
"83",11,"Exp1","LGM",1.96273959475234,0,0,0,0
"84",11,"Exp1","PIM",1.96218406489539,0,0,0,0
"85",11,"Exp2","DIM",1.27973305679015,0,0,0,0
"86",11,"Exp2","IP",0,0.0300670667170151,0.962093369462711,1.07100234572295,0.0781348130525318
"87",11,"Exp2","LGM",1.28371316731077,0,0,0,0
"88",11,"Exp2","PIM",1.28359400050539,0,0,0,0
"89",12,"Exp1","DIM",1.75326559862568,0,0,0,0
"90",12,"Exp1","IP",0,0.021815550103867,0.909078408510354,2.14568105250673,0.357724448502694
"91",12,"Exp1","LGM",1.98814263925088,0,0,0,0
"92",12,"Exp1","PIM",1.98660763297396,0,0,0,0
"93",12,"Exp2","DIM",0.981051859423903,0,0,0,0
"94",12,"Exp2","IP",0,0.00757674938143076,0.753770899878337,1.18648804852923,0.165054352381028
"95",12,"Exp2","LGM",1.46963244110101,0,0,0,0
"96",12,"Exp2","PIM",1.4704075495396,0,0,0,0
"97",13,"Exp1","DIM",2.36255873007908,0,0,0,0
"98",13,"Exp1","IP",0,0.015153776544168,0.818060476002376,2.29411947651625,0.285270342466184
"99",13,"Exp1","LGM",2.33373212828466,0,0,0,0
"100",13,"Exp1","PIM",2.33568442286467,0,0,0,0
"101",13,"Exp2","DIM",1.36890833840384,0,0,0,0
"102",13,"Exp2","IP",0,0.0179392311774405,0.990398757396249,1.30353007605499,0.0762553918610982
"103",13,"Exp2","LGM",1.37420968590011,0,0,0,0
"104",13,"Exp2","PIM",1.37418688098191,0,0,0,0
"105",14,"Exp1","DIM",1.64713848225886,0,0,0,0
"106",14,"Exp1","IP",0,0.0164742244785038,0.793900364880999,1.90418152234383,0.236669784554652
"107",14,"Exp1","LGM",1.63500199919436,0,0,0,0
"108",14,"Exp1","PIM",1.64368436268181,0,0,0,0
"109",14,"Exp2","DIM",0.622212967000569,0,0,0,0
"110",14,"Exp2","IP",0,0.0136586360050514,0.751087688478656,1.07360824255848,0.101259419426731
"111",14,"Exp2","LGM",0.772518553007916,0,0,0,0
"112",14,"Exp2","PIM",0.767837668695402,0,0,0,0
"113",15,"Exp1","DIM",0.714411226161325,0,0,0,0
"114",15,"Exp1","IP",0,0.0175531625178223,0.805016013432437,1.17351430896397,0.420594146776975
"115",15,"Exp1","LGM",0.823898179362906,0,0,0,0
"116",15,"Exp1","PIM",0.818617549890296,0,0,0,0
"117",15,"Exp2","DIM",1.18856467032101,0,0,0,0
"118",15,"Exp2","IP",0,0.0234441392880884,0.920119841390585,1.16465060176006,0.0182777401480168
"119",15,"Exp2","LGM",1.14537033524469,0,0,0,0
"120",15,"Exp2","PIM",1.14517438425107,0,0,0,0
"121",16,"Exp1","DIM",0.798738357036243,0,0,0,0
"122",16,"Exp1","IP",0,0.117797497334669,0.887871107739075,1.11892458282327,0.353200706434137
"123",16,"Exp1","LGM",0.781464376913815,0,0,0,0
"124",16,"Exp1","PIM",0.772256702808385,0,0,0,0
"125",16,"Exp2","DIM",0.640703676995769,0,0,0,0
"126",16,"Exp2","IP",0,0.0240404709078329,0.938419376206733,1.03992563328021,0.109424630419485
"127",16,"Exp2","LGM",1.10580756331669,0,0,0,0
"128",16,"Exp2","PIM",1.10678662745921,0,0,0,0
