"","id","trialnum","NSub","targetDur","RP","Exp","group","model","W_DG","mu_r","sig_r","predY","W_DL_PL","W_DG_PG","sig2_DL","sig2_DG","log_lik","W_P_G","W_L","W_Ds","W_P_S","W_P_L","part"
"1040",84,438,8,0.8,0.861911960912948,"Exp1","mixed","DIM",0.29476116891117,0.819364142880766,0.0717819635294296,0.818968095458418,0.857799322877596,0.693040369509122,0.00468885348919138,0.0101215322148511,1.21579984806336,0.204281389419138,0.604953391774986,0.190765218805876,0.604953391774986,0.604953391774986,"all"
"1041",85,439,8,2.4,1.32587807388836,"Exp1","mixed","DIM",0.929543459116367,1.45804712068801,0.121946278689985,1.45742910794168,0.581186581358181,0.952988340089863,0.124287684078019,0.013951249111938,0.686946991843983,0.885844078144696,0.0409483961304813,0.0732075257248223,0.0409483961304813,0.0409483961304813,"all"
"1042",86,440,8,1.2,1.18197049191531,"Exp1","mixed","DIM",0.85053311968707,1.33926011579531,0.111427033143034,1.33921902775253,0.257567901402208,0.835346112194191,0.0550813094880919,0.0122157322801349,0.776730650390855,0.71048953482299,0.0384978706913364,0.251012594485673,0.0384978706913364,0.0384978706913364,"all"
"1043",87,442,8,1.69705627484772,1.23789403462706,"Exp1","mixed","DIM",0.899984329452126,1.42837737584269,0.118116885291288,1.42816868911243,0.409628619043181,0.910230823364065,0.087599738235487,0.0133200162280533,0.714241206493959,0.819193477211965,0.0409692810092036,0.139837241778832,0.0409692810092036,0.0409692810092036,"all"
"1044",88,443,8,0.672717132202972,0.925924413523262,"Exp1","mixed","DIM",0.309796642446957,0.787068700686972,0.069953172474392,0.786839202053195,0.810084190226635,0.615030107319903,0.00442803576615197,0.00897587439251845,1.24265944647577,0.190534262251498,0.559122827995061,0.250342909753441,0.559122827995061,0.559122827995061,"all"
"1045",89,444,8,1.42704853800327,1.01392213697227,"Exp1","mixed","DIM",0.878046243157995,1.39319984508767,0.1151955053751,1.39238403510648,0.329140625504899,0.877630917869983,0.0703872515163649,0.0128390892177585,0.749473721741349,0.770600530315041,0.0401399358096499,0.189259533875309,0.0401399358096499,0.0401399358096499,"all"
"1046",90,445,8,0.8,1.0139103188103,"Exp1","mixed","DIM",0.29476116891117,0.819364142880766,0.0717819635294296,0.819913687640661,0.857799322877596,0.693040369509122,0.00468885348919138,0.0101215322148511,1.20975626890288,0.204281389419138,0.604953391774986,0.190765218805876,0.604953391774986,0.604953391774986,"all"
"1047",91,446,8,2.4,1.23791829295942,"Exp1","mixed","DIM",0.929543459116367,1.45804712068801,0.121946278689985,1.4581216263434,0.581186581358181,0.952988340089863,0.124287684078019,0.013951249111938,0.687111649377296,0.885844078144696,0.0409483961304813,0.0732075257248223,0.0409483961304813,0.0409483961304813,"all"
"1048",92,448,8,0.565685424949238,0.813982782803578,"Exp1","mixed","DIM",0.327678262964486,0.742903533933697,0.0677135763085406,0.742940927487321,0.751005790890168,0.530635042805201,0.00410510480610484,0.00773830182029512,1.27812869139373,0.173877569094494,0.504917517855007,0.321204913050498,0.504917517855007,0.504917517855007,"all"
"1049",93,449,8,1.42704853800327,1.02189690830664,"Exp1","mixed","DIM",0.878046243157995,1.39319984508767,0.1151955053751,1.39280072330403,0.329140625504899,0.877630917869983,0.0703872515163649,0.0128390892177585,0.748557472524266,0.770600530315041,0.0401399358096499,0.189259533875309,0.0401399358096499,0.0401399358096499,"all"
