"","NSub","curDur","exp","group","model","mu_r","sig_r","log_lik","W_P_G","W_L","W_Ds","part"
"16569",7,1.23,"Exp1","mixed","IP",1.29875872662939,0.145072637758784,0.509160793380247,0,0.0791206654647891,0.920879334535211,"all"
"16570",7,1.24,"Exp1","mixed","IP",1.30897518216805,0.146016470308748,0.504972344889582,0,0.0802927331490694,0.919707266850931,"all"
"16571",7,1.25,"Exp1","mixed","IP",1.31917331981883,0.146959414444347,0.494231068415968,0,0.0814708034378015,0.918529196562198,"all"
"16572",7,1.26,"Exp1","mixed","IP",1.32935290355226,0.147901439907561,0.498817215435282,0,0.0826548093433694,0.917345190656631,"all"
"16573",7,1.27,"Exp1","mixed","IP",1.33951370004191,0.148842517159764,0.482904996580796,0,0.0838446839124639,0.916155316087536,"all"
"16574",7,1.28,"Exp1","mixed","IP",1.34965547866909,0.149782617362464,0.488782653839217,0,0.0850403602339824,0.914959639766018,"all"
"16575",7,1.29,"Exp1","mixed","IP",1.35977801152706,0.150721712358723,0.473438775670161,0,0.0862417714468318,0.913758228553168,"all"
"16576",7,1.3,"Exp1","mixed","IP",1.36988107342456,0.151659774655239,0.463263824656907,0,0.0874488507476332,0.912551149252367,"all"
"16577",7,1.31,"Exp1","mixed","IP",1.37996444188896,0.152596777405052,0.463431651414381,0,0.0886615313983292,0.911338468601671,"all"
"16578",7,1.32,"Exp1","mixed","IP",1.39002789716874,0.153532694390853,0.461186996830481,0,0.0898797467336918,0.910120253266308,"all"
"16579",7,1.33,"Exp1","mixed","IP",1.40007122223557,0.15446750000888,0.445071237213836,0,0.0911034301687302,0.90889656983127,"all"
"16580",7,1.34,"Exp1","mixed","IP",1.41009420278576,0.155401169253354,0.448287445269321,0,0.092332515205999,0.907667484794001,"all"
"16581",7,1.35,"Exp1","mixed","IP",1.42009662724127,0.156333677701463,0.441997649360255,0,0.093566935442805,0.906433064557195,"all"
"16582",7,1.36,"Exp1","mixed","IP",1.4300782867502,0.157265001498845,0.427508993483127,0,0.094806624578312,0.905193375421688,"all"
"16583",7,1.37,"Exp1","mixed","IP",1.44003897518674,0.15819511734557,0.424944362462536,0,0.0960515164205447,0.903948483579455,"all"
"16584",7,1.38,"Exp1","mixed","IP",1.44997848915071,0.15912400248258,0.422097685301368,0,0.0973015448932888,0.902698455106711,"all"
"16585",7,1.39,"Exp1","mixed","IP",1.45989662796655,0.160051634678598,0.415843130813507,0,0.0985566440428892,0.901443355957111,"all"
"16586",7,1.4,"Exp1","mixed","IP",1.46979319368181,0.160977992217452,0.404759825807055,0,0.0998167480449444,0.900183251955056,"all"
"16587",7,1.41,"Exp1","mixed","IP",1.47966799106528,0.161903053885828,0.406511427053158,0,0.101081791210898,0.898918208789102,"all"
"16588",7,1.42,"Exp1","mixed","IP",1.48952082760452,0.162826798961415,0.395649684717176,0,0.102351707994524,0.897648292005476,"all"
"16589",7,1.43,"Exp1","mixed","IP",1.49935151350306,0.163749207201436,0.389776464865301,0,0.103626432998312,0.896373567001688,"all"
"16590",7,1.44,"Exp1","mixed","IP",1.50915986167702,0.16467025883155,0.387935785607146,0,0.104905900979744,0.895094099020256,"all"
"16591",7,1.45,"Exp1","mixed","IP",1.5189456877514,0.165589934535103,0.3840507087508,0,0.106190046857472,0.893809953142528,"all"
"16592",7,1.46,"Exp1","mixed","IP",1.5287088100559,0.166508215442721,0.374665671731085,0,0.107478805717382,0.892521194282618,"all"
"16593",7,1.47,"Exp1","mixed","IP",1.53844904962026,0.16742508312223,0.375342959848062,0,0.108772112818563,0.891227887181437,"all"
"16594",7,1.48,"Exp1","mixed","IP",1.54816623016925,0.168340519568891,0.362662534838198,0,0.110069903599168,0.889930096400832,"all"
