"","id","trialnum","NSub","targetDur","RP","Exp","group","model","W_Ds","mu_r","sig_r","predY","W_PI_PL","sig2_PI","log_lik","W_P_G","W_L","W_P_S","W_P_L","part"
"4017",56,404,14,1.31,0.728589824186201,"Exp2","mixed","PIM",0.245867151721468,1.21093031773462,0.205840125063478,1.21141179818338,0.542337607952107,0.0487605466441257,0.159172775440771,0.345138243265044,0.408994605013488,0.408994605013488,0.408994605013488,"all"
"4018",57,405,14,0.663061306494331,0.563355081204463,"Exp2","mixed","PIM",0.163238506363876,0.67283581626106,0.109758579586475,0.672643693240241,0.927972145036877,0.00744578478354524,0.791209191266039,0.060270135502349,0.776491358133775,0.776491358133775,0.776491358133775,"all"
"4019",58,406,14,1.76834346805288,1.33562880988939,"Exp2","mixed","PIM",0.151962735391839,1.26826607663507,0.21670541744072,1.26711270549106,0.542337607952107,0.0487605466441257,0.109287556484469,0.388114763066323,0.459922501541838,0.459922501541838,0.459922501541838,"all"
"4020",59,407,14,0.542862864224572,0.624287256917341,"Exp2","mixed","PIM",0.225424325407742,0.645023537126937,0.107628350430766,0.645227075947383,0.927972145036877,0.00744578478354524,0.81086940965636,0.0557910243474944,0.718784650244763,0.718784650244763,0.718784650244763,"all"
"4021",60,408,14,0.663061306494331,0.688756482357348,"Exp2","mixed","PIM",0.163238506363876,0.67283581626106,0.109758579586475,0.673451817866893,0.927972145036877,0.00744578478354524,0.791244843433332,0.060270135502349,0.776491358133775,0.776491358133775,0.776491358133775,"all"
"4022",61,409,14,0.4912,0.615904131906973,"Exp2","mixed","PIM",0.262244482711138,0.626624463039254,0.106346963974291,0.626302476774917,0.927972145036877,0.00744578478354524,0.825442791883176,0.053138947397526,0.684616569891336,0.684616569891336,0.684616569891336,"all"
"4023",62,411,14,1.44778166151097,1.18687940691689,"Exp2","mixed","PIM",0.210781886711595,1.23537016730634,0.209963868343085,1.23521351042897,0.542337607952107,0.0487605466441257,0.147019026827745,0.361195449575097,0.428022663713308,0.428022663713308,0.428022663713308,"all"
"4024",63,412,14,1.60005476290647,1.47135025589614,"Exp2","mixed","PIM",0.179502261143262,1.25429158842694,0.213574829929043,1.25377905937819,0.542337607952107,0.0487605466441257,0.124784533746867,0.375510957835062,0.444986781021675,0.444986781021675,0.444986781021675,"all"
"4025",64,413,14,0.542862864224572,0.501158055301858,"Exp2","mixed","PIM",0.225424325407742,0.645023537126937,0.107628350430766,0.644930592460141,0.927972145036877,0.00744578478354524,0.814817510029902,0.0557910243474944,0.718784650244763,0.718784650244763,0.718784650244763,"all"
"4026",65,414,14,1.31,0.761833107736493,"Exp2","mixed","PIM",0.245867151721468,1.21093031773462,0.205840125063478,1.2096591650605,0.542337607952107,0.0487605466441257,0.157759085375604,0.345138243265044,0.408994605013488,0.408994605013488,0.408994605013488,"all"
