"","group","targetDur","NSub","Exp","RP","NB","m_RP","stdRepDur"
"51","short",0.475682846001088,1,"Exp1",0.517874379156638,9,0.520411209837403,0.0179940477156387
"52","short",0.475682846001088,1,"Exp1",0.531415193801877,9,0.520411209837403,0.0179940477156387
"53","short",0.475682846001088,1,"Exp1",0.389962990491767,10,0.520411209837403,0.0179940477156387
"54","short",0.475682846001088,1,"Exp1",0.485897542755993,10,0.520411209837403,0.0179940477156387
"55","short",0.475682846001088,1,"Exp1",0.525901399209033,10,0.520411209837403,0.0179940477156387
"56","short",0.475682846001088,1,"Exp1",0.6538892949211,10,0.520411209837403,0.0179940477156387
"57","short",0.475682846001088,1,"Exp1",0.68922684340032,11,0.520411209837403,0.0179940477156387
"58","short",0.475682846001088,1,"Exp1",0.493923007783451,11,0.520411209837403,0.0179940477156387
"59","short",0.475682846001088,1,"Exp1",0.4450343815206,11,0.520411209837403,0.0179940477156387
"60","short",0.475682846001088,1,"Exp1",0.485928643181978,11,0.520411209837403,0.0179940477156387
"61","short",0.475682846001088,1,"Exp1",0.493943534065693,11,0.520411209837403,0.0179940477156387
"62","short",0.475682846001088,1,"Exp1",0.365972743586099,12,0.520411209837403,0.0179940477156387
"63","short",0.475682846001088,1,"Exp1",0.389872488252877,12,0.520411209837403,0.0179940477156387
"64","short",0.475682846001088,1,"Exp1",0.430002923440043,12,0.520411209837403,0.0179940477156387
"65","short",0.475682846001088,1,"Exp1",0.477821384030904,12,0.520411209837403,0.0179940477156387
"66","short",0.475682846001088,1,"Exp1",0.606016097579413,12,0.520411209837403,0.0179940477156387
"67","short",0.475682846001088,1,"Exp1",0.576694926587152,12,0.520411209837403,0.0179940477156387
"68","short",0.475682846001088,1,"Exp1",0.373912060433213,13,0.520411209837403,0.0179940477156387
"69","short",0.475682846001088,1,"Exp1",0.613793070202519,13,0.520411209837403,0.0179940477156387
"70","short",0.475682846001088,1,"Exp1",0.421843415573676,13,0.520411209837403,0.0179940477156387
"71","short",0.475682846001088,1,"Exp1",0.485880126516349,13,0.520411209837403,0.0179940477156387
"72","short",0.475682846001088,1,"Exp1",0.52592099247704,13,0.520411209837403,0.0179940477156387
"73","mixed",0.475682846001088,1,"Exp1",0.589955215385999,14,0.599386772159051,0.0427667306637833
"74","mixed",0.475682846001088,1,"Exp1",0.677874254755807,14,0.599386772159051,0.0427667306637833
"75","mixed",0.475682846001088,1,"Exp1",0.501850506469054,15,0.599386772159051,0.0427667306637833
"76","mixed",0.475682846001088,1,"Exp1",0.413932400113481,15,0.599386772159051,0.0427667306637833
"77","mixed",0.475682846001088,1,"Exp1",0.557911513065847,16,0.599386772159051,0.0427667306637833
"78","mixed",0.475682846001088,1,"Exp1",0.381896161896293,16,0.599386772159051,0.0427667306637833
"79","mixed",0.475682846001088,1,"Exp1",0.645903327435008,17,0.599386772159051,0.0427667306637833
"80","mixed",0.475682846001088,1,"Exp1",0.453901113083703,17,0.599386772159051,0.0427667306637833
"81","mixed",0.475682846001088,1,"Exp1",0.501904932216348,17,0.599386772159051,0.0427667306637833
"82","mixed",0.475682846001088,1,"Exp1",0.741777233864923,17,0.599386772159051,0.0427667306637833
"83","mixed",0.475682846001088,1,"Exp1",0.668013242562665,18,0.599386772159051,0.0427667306637833
"84","mixed",0.475682846001088,1,"Exp1",0.550002363632302,18,0.599386772159051,0.0427667306637833
"85","mixed",0.475682846001088,1,"Exp1",1.02189473127692,19,0.599386772159051,0.0427667306637833
"86","mixed",0.475682846001088,1,"Exp1",0.550054923352945,20,0.599386772159051,0.0427667306637833
"87","mixed",0.475682846001088,1,"Exp1",0.733929663274466,20,0.599386772159051,0.0427667306637833
"88","short",0.565685424949238,1,"Exp1",0.757881656656537,7,0.62713850752581,0.0218065454323013
"89","short",0.565685424949238,1,"Exp1",0.717897393473322,7,0.62713850752581,0.0218065454323013
"90","short",0.565685424949238,1,"Exp1",0.653963002932869,8,0.62713850752581,0.0218065454323013
