"","NSub","targetDur","RP","Exp","group","model","W_P_G","mu_r","sig_r","predY","W_PL","sig2_DL","log_lik","W_L","W_Ds","W_P_S","W_P_L","part"
"2733",4,0.542862864224572,0.645950911086857,"Exp2","mixed","IP",0,0.564666699741397,0.0853457907334568,0.564939572383191,0.530961825076381,0,1.04224696561753,0.530961825076381,0.469038174923619,0.530961825076381,0.530961825076381,"part1"
"2734",4,1.60005476290647,1.82193920488635,"Exp2","mixed","IP",0,1.63521014507764,0.18665109870573,1.63409186012208,0.442219761082947,0,0.25984742601676,0.442219761082947,0.557780238917053,0.442219761082947,0.442219761082947,"part1"
"2735",4,1.31,1.66185287010239,"Exp2","mixed","IP",0,1.43879277840437,0.168197779060543,1.43790403741936,0.348704715444535,0,0.3689025753883,0.348704715444535,0.651295284555465,0.348704715444535,0.348704715444535,"part1"
"2736",4,0.599959465297448,0.669906636519499,"Exp2","mixed","IP",0,0.590648444381934,0.0870676290930859,0.590358550073062,0.578590281959343,0,1.01842981236795,0.578590281959343,0.421409718040657,0.578590281959343,0.578590281959343,"part1"
"2737",4,1.31,1.19793651780947,"Exp2","mixed","IP",0,1.43879277840437,0.168197779060543,1.43857464157136,0.348704715444535,0,0.365460759975976,0.348704715444535,0.651295284555465,0.348704715444535,0.348704715444535,"part1"
"2738",4,0.7328,0.733944902484382,"Exp2","mixed","IP",0,0.633084653470391,0.0902846244869551,0.633447764857328,0.668999695735468,0,0.98785891598962,0.668999695735468,0.331000304264532,0.668999695735468,0.668999695735468,"part1"
"2739",4,1.76834346805288,1.92597977228252,"Exp2","mixed","IP",0,1.72480045176018,0.195628824589786,1.72496259072882,0.490991106384065,0,0.211503004572041,0.490991106384065,0.509008893615935,0.490991106384065,0.490991106384065,"part1"
"2740",4,1.31,1.43792700107906,"Exp2","mixed","IP",0,1.43879277840437,0.168197779060543,1.43886465836499,0.348704715444535,0,0.363547067289949,0.348704715444535,0.651295284555465,0.348704715444535,0.348704715444535,"part1"
"2741",4,1.44778166151097,1.47787612078127,"Exp2","mixed","IP",0,1.53917734148542,0.177462029385811,1.53991904025233,0.394515489101718,0,0.315754416575045,0.394515489101718,0.605484510898282,0.394515489101718,0.394515489101718,"part1"
"2742",4,1.60005476290647,1.68595290151416,"Exp2","mixed","IP",0,1.63521014507764,0.18665109870573,1.63453265610661,0.442219761082947,0,0.266653204296117,0.442219761082947,0.557780238917053,0.442219761082947,0.442219761082947,"part1"
"2743",4,1.60005476290647,1.47784315432955,"Exp2","mixed","IP",0,1.63521014507764,0.18665109870573,1.63578173170164,0.442219761082947,0,0.261813008004468,0.442219761082947,0.557780238917053,0.442219761082947,0.442219761082947,"part1"
"2744",5,1.31,1.26992498577056,"Exp2","mixed","IP",0,1.3196686119515,0.178895348377244,1.31900096428567,0.10469584406112,0,0.302289082321338,0.10469584406112,0.89530415593888,0.10469584406112,0.10469584406112,"part1"
"2745",5,0.663061306494331,0.637878795418146,"Exp2","mixed","IP",0,0.603509781879106,0.0613793580127972,0.603007693841654,0.717918154960787,0,1.37409206577746,0.717918154960787,0.282081845039213,0.717918154960787,0.717918154960787,"part1"
"2746",5,0.4912,0.661940262301869,"Exp2","mixed","IP",0,0.543259584711249,0.0573263119229342,0.543205150159311,0.585139664417926,0,1.44240175092633,0.585139664417926,0.414860335582074,0.585139664417926,0.585139664417926,"part1"
"2747",5,0.599959465297448,0.661948037408365,"Exp2","mixed","IP",0,0.58654672865797,0.0601374066606939,0.587319177262117,0.676382733701705,0,1.39290161181048,0.676382733701705,0.323617266298295,0.676382733701705,0.676382733701705,"part1"
"2748",5,0.7328,0.773928543660077,"Exp2","mixed","IP",0,0.617340298178256,0.0625015764721758,0.617204646897806,0.756091807821078,0,1.35428994680123,0.756091807821078,0.243908192178922,0.756091807821078,0.756091807821078,"part1"
"2749",5,0.542862864224572,0.653911687229993,"Exp2","mixed","IP",0,0.566424674610475,0.0587823670382553,0.565865252442465,0.631919633865332,0,1.42446666641382,0.631919633865332,0.368080366134668,0.631919633865332,0.631919633865332,"part1"
"2750",5,1.31,1.07789198199862,"Exp2","mixed","IP",0,1.3196686119515,0.178895348377244,1.32009030628725,0.10469584406112,0,0.303255091683675,0.10469584406112,0.89530415593888,0.10469584406112,0.10469584406112,"part1"
"2751",5,0.7328,0.782004391379814,"Exp2","mixed","IP",0,0.617340298178256,0.0625015764721758,0.617250695939444,0.756091807821078,0,1.35786120830957,0.756091807821078,0.243908192178922,0.756091807821078,0.756091807821078,"part1"
"2752",5,0.4912,0.477934589582219,"Exp2","mixed","IP",0,0.543259584711249,0.0573263119229342,0.543442115557203,0.585139664417926,0,1.44472150306399,0.585139664417926,0.414860335582074,0.585139664417926,0.585139664417926,"part1"
"2753",5,0.7328,0.61388885951601,"Exp2","mixed","IP",0,0.617340298178256,0.0625015764721758,0.617561089167482,0.756091807821078,0,1.35519231950994,0.756091807821078,0.243908192178922,0.756091807821078,0.756091807821078,"part1"
"2754",5,0.542862864224572,0.445908925510594,"Exp2","mixed","IP",0,0.566424674610475,0.0587823670382553,0.566498585718901,0.631919633865332,0,1.41830342062478,0.631919633865332,0.368080366134668,0.631919633865332,0.631919633865332,"part1"
"2755",5,1.76834346805288,1.12594929386432,"Exp2","mixed","IP",0,1.70460198391809,0.229892737292915,1.70501248779765,0.172430353564156,0,0.0507102377800225,0.172430353564156,0.827569646435845,0.172430353564156,0.172430353564156,"part1"
"2756",5,1.954332247557,1.79791692454091,"Exp2","mixed","IP",0,1.84215171463404,0.248941602121391,1.84034929496071,0.201325728075394,0,-0.0222379937836592,0.201325728075394,0.798674271924606,0.201325728075394,0.201325728075394,"part1"
"2757",5,1.44778166151097,1.44587564805443,"Exp2","mixed","IP",0,1.44200338263018,0.194809211017892,1.44294871444988,0.12427125802673,0,0.221181728033045,0.12427125802673,0.87572874197327,0.12427125802673,0.12427125802673,"part1"
"2758",5,1.44778166151097,1.32593840871596,"Exp2","mixed","IP",0,1.44200338263018,0.194809211017892,1.44289434245402,0.12427125802673,0,0.221427211677851,0.12427125802673,0.87572874197327,0.12427125802673,0.12427125802673,"part1"
