"","id","trialnum","NSub","targetDur","RP","Exp","group","model","W_P_G","mu_r","sig_r","predY","W_DL_PL","sig2_DL","log_lik","W_L","W_Ds","W_P_S","W_P_L","part"
"3915",79,440,13,0.7328,0.678580483947371,"Exp2","mixed","IP",0,0.95425291446272,0.130585152795342,0.955275036322975,0.862593514617045,0.0151158432462993,0.631998445540829,0.862593514617045,0.137406485382955,0.862593514617045,0.862593514617045,"part2"
"3916",80,441,13,0.599959465297448,1.00167770324333,"Exp2","mixed","IP",0,0.914984960437154,0.126817619497717,0.913537714487664,0.808647961938666,0.0141101339940245,0.64713540617949,0.808647961938666,0.191352038061334,0.808647961938666,0.808647961938666,"part2"
"3917",81,442,13,0.542862864224572,1.06458053076676,"Exp2","mixed","IP",0,0.889575667769945,0.124505249106806,0.8886201176148,0.776220838850341,0.0135099622668786,0.668917591704233,0.776220838850341,0.223779161149659,0.776220838850341,0.776220838850341,"part2"
"3918",82,443,13,0.7328,0.811807416066586,"Exp2","mixed","IP",0,0.95425291446272,0.130585152795342,0.952957830573469,0.862593514617045,0.0151158432462993,0.621894802179038,0.862593514617045,0.137406485382955,0.862593514617045,0.862593514617045,"part2"
"3919",83,444,13,1.60005476290647,1.28002637753343,"Exp2","mixed","IP",0,1.34073566263097,0.244131533524189,1.34180687033263,0.88840506908472,0.0585286340347294,-0.000880517803902697,0.88840506908472,0.11159493091528,0.88840506908472,0.88840506908472,"part2"
"3920",84,445,13,0.599959465297448,1.22117759487992,"Exp2","mixed","IP",0,0.914984960437154,0.126817619497717,0.915884686138562,0.808647961938666,0.0141101339940245,0.655028205900282,0.808647961938666,0.191352038061334,0.808647961938666,0.808647961938666,"part2"
"3921",85,446,13,1.954332247557,1.26289155307313,"Exp2","mixed","IP",0,1.3584198824219,0.248781485425897,1.3579345948468,0.922087784952263,0.0609616305857203,-0.0174925658086749,0.922087784952263,0.077912215047737,0.922087784952263,0.922087784952263,"part2"
"3922",86,447,13,0.542862864224572,0.949943227513359,"Exp2","mixed","IP",0,0.889575667769945,0.124505249106806,0.88994963800864,0.776220838850341,0.0135099622668786,0.662161083771036,0.776220838850341,0.223779161149659,0.776220838850341,0.776220838850341,"part2"
"3923",87,449,13,0.4912,0.915878225356209,"Exp2","mixed","IP",0,0.860022902613168,0.121885819847225,0.859916960982415,0.740116143791343,0.0128454772862274,0.690776702665916,0.740116143791343,0.259883856208657,0.740116143791343,0.740116143791343,"part2"
"3924",88,450,13,1.60005476290647,1.3535345894561,"Exp2","mixed","IP",0,1.34073566263097,0.244131533524189,1.34167107953149,0.88840506908472,0.0585286340347294,0.00780465614382066,0.88840506908472,0.11159493091528,0.88840506908472,0.88840506908472,"part2"
"3925",89,451,13,1.31,1.50294334154023,"Exp2","mixed","IP",0,1.30855549227005,0.237712260022447,1.30596384805546,0.842797985786302,0.0552656044832037,0.019466089362201,0.842797985786302,0.157202014213698,0.842797985786302,0.842797985786302,"part2"
"3926",90,452,13,0.663061306494331,1.01255758616571,"Exp2","mixed","IP",0,0.936445095493154,0.128837446752436,0.936463096554931,0.837397636418387,0.014644968814902,0.629676031077492,0.837397636418387,0.162602363581613,0.837397636418387,0.837397636418387,"part2"
"3927",91,453,13,1.31,1.16777158551486,"Exp2","mixed","IP",0,1.30855549227005,0.237712260022447,1.30881581702635,0.842797985786302,0.0552656044832037,0.0277140386215772,0.842797985786302,0.157202014213698,0.842797985786302,0.842797985786302,"part2"
"3928",92,454,13,1.954332247557,1.26294818963106,"Exp2","mixed","IP",0,1.3584198824219,0.248781485425897,1.35868570977294,0.922087784952263,0.0609616305857203,-0.0221281743255368,0.922087784952263,0.077912215047737,0.922087784952263,0.922087784952263,"part2"
"3929",93,457,13,1.954332247557,1.52370554879599,"Exp2","mixed","IP",0,1.3584198824219,0.248781485425897,1.36057103843636,0.922087784952263,0.0609616305857203,-0.0205248001134081,0.922087784952263,0.077912215047737,0.922087784952263,0.922087784952263,"part2"
"3930",94,458,13,1.76834346805288,1.57579721242473,"Exp2","mixed","IP",0,1.35110247210991,0.246651059769706,1.34979534572778,0.906588383314829,0.0598395557433864,-0.0151574156038249,0.906588383314829,0.0934116166851706,0.906588383314829,0.906588383314829,"part2"
"3931",95,459,13,0.542862864224572,0.689054471531563,"Exp2","mixed","IP",0,0.889575667769945,0.124505249106806,0.889303864192633,0.776220838850341,0.0135099622668786,0.672928172258739,0.776220838850341,0.223779161149659,0.776220838850341,0.776220838850341,"part2"
"3932",96,460,13,1.44778166151097,1.42980855332826,"Exp2","mixed","IP",0,1.32674900358854,0.241169772466954,1.32806478174623,0.867233909043785,0.0570095401649723,0.0118703048572637,0.867233909043785,0.132766090956215,0.867233909043785,0.867233909043785,"part2"
"3933",97,461,13,1.60005476290647,1.14809302441427,"Exp2","mixed","IP",0,1.34073566263097,0.244131533524189,1.33906130625679,0.88840506908472,0.0585286340347294,-0.00330556895829571,0.88840506908472,0.11159493091528,0.88840506908472,0.88840506908472,"part2"
"3934",98,463,13,1.44778166151097,0.811797221485904,"Exp2","mixed","IP",0,1.32674900358854,0.241169772466954,1.32672252360443,0.867233909043785,0.0570095401649723,0.00265868990807331,0.867233909043785,0.132766090956215,0.867233909043785,0.867233909043785,"part2"
"3935",99,464,13,0.542862864224572,0.926365428138524,"Exp2","mixed","IP",0,0.889575667769945,0.124505249106806,0.88835561386497,0.776220838850341,0.0135099622668786,0.660550794404083,0.776220838850341,0.223779161149659,0.776220838850341,0.776220838850341,"part2"
"3936",100,465,13,1.954332247557,1.70124718988154,"Exp2","mixed","IP",0,1.3584198824219,0.248781485425897,1.35796961399196,0.922087784952263,0.0609616305857203,-0.016169818655568,0.922087784952263,0.077912215047737,0.922087784952263,0.922087784952263,"part2"
