"","Nsub","Exp","model","ver","phi","mu_p_g","sig2_p_g","looic","p_loo","elpd_loo","se_looic","se_p_loo","waic","p_waic","se_waic","se_p_waic","elpd_waic","mu_p_s_IR","mu_p_l_IR","sig_pr2_s_IR","sig_pr2_l_IR","part"
"27",14,"Exp1","LGM","linear",0,1.52976146073798,1.33294353395452,40.5699755151598,60.5783135951525,-20.2849877575799,8.06646434289036,0.937153322617301,-12.5785023428867,34.0040746661292,7.41681254930703,0.132176617294653,6.28925117144335,0,0,0,0,"part1"
"28",14,"Exp1","LGM","linear",0,1.62419831048373,1.35251456621899,40.6857459085979,60.975809385404,-20.342872954299,7.42719960986654,0.89674478919548,-11.4325870562165,34.9166429029968,7.37467303194662,0.130078661726686,5.71629352810826,0,0,0,0,"part2"
"29",15,"Exp1","LGM","linear",0,0.897172246382519,0.984567657397091,38.8413621533719,60.6326660651564,-19.420681076686,9.41947765053372,1.02547671590974,-14.3338384377553,34.0450657695928,9.11879055216125,0.133445876144482,7.16691921887766,0,0,0,0,"part1"
"30",15,"Exp1","LGM","linear",0,0.970708673900427,0.787017253539987,49.0395009539959,61.9585299296133,-24.5197504769979,9.70248702037512,0.755576441117811,-4.50643783014175,35.1855605375446,9.43746711328247,0.119591156190163,2.25321891507087,0,0,0,0,"part2"
"31",16,"Exp1","LGM","linear",0,1.03230106949141,1.19052076007645,7.27049548057174,58.9614750381468,-3.63524774028587,8.33000799998191,0.743017576394708,-42.6630878753799,33.994683360171,8.26229787803625,0.113551925697888,21.3315439376899,0,0,0,0,"part1"
"32",16,"Exp1","LGM","linear",0,0.883064569355835,0.756136990660678,5.29095763590713,59.1761209810431,-2.64547881795357,8.33151996395417,0.70852360773072,-44.4097988092948,34.3257427584421,8.29795837470238,0.119779486915281,22.2048994046474,0,0,0,0,"part2"
"33",1,"Exp2","LGM","linear",0,1.12883810809465,1.02014285768924,12.6388184917204,60.5126789549488,-6.31940924586021,7.26091709661235,0.714967293036619,-39.394515270543,34.496012073817,6.95030346450002,0.0941969651236384,19.6972576352715,0,0,0,0,"part1"
"34",1,"Exp2","LGM","linear",0,1.30831411529264,1.02136924226715,16.1955907676543,61.795592456705,-8.09779538382714,7.18407454621892,0.804485025457026,-36.4793298495891,35.4581321480833,6.99774152014305,0.116855502766124,18.2396649247945,0,0,0,0,"part2"
"35",2,"Exp2","LGM","linear",0,1.31509176664881,1.15939028388273,10.3125442000635,60.806758961396,-5.15627210003175,8.15675729948409,0.762705514675321,-42.2927410635074,34.5041163296105,8.29777102814875,0.118032831487323,21.1463705317537,0,0,0,0,"part1"
"36",2,"Exp2","LGM","linear",0,1.50565781969241,1.27778197626152,9.78973362208762,63.1607945211745,-4.89486681104381,9.11573881246327,0.819896184649413,-45.2934163504153,35.6192195349231,8.65657179744812,0.116050055183092,22.6467081752076,0,0,0,0,"part2"
"37",3,"Exp2","LGM","linear",0,1.14012197796661,0.068702424899184,-1.57721678190786,57.1755398332949,0.788608390953931,6.69155143635959,0.640844998145159,-49.9030598226651,33.0126183129163,6.64986719376979,0.115601202902257,24.9515299113326,0,0,0,0,"part1"
"38",3,"Exp2","LGM","linear",0,0.811435329113581,0.60889626474533,14.7596618930444,59.1392705212502,-7.37983094652218,8.80302026736138,0.89593801249198,-35.8526719224718,33.8331036134922,8.50215843681854,0.105569218949656,17.9263359612359,0,0,0,0,"part2"
"39",4,"Exp2","LGM","linear",0,1.88328486966833,0.494010554946296,10.662605490683,60.5955626731225,-5.3313027453415,6.01229535627026,1.04814649727278,-43.3456935519979,33.591413151782,5.8651625149628,0.127891275862345,21.672846775999,0,0,0,0,"part1"
"40",4,"Exp2","LGM","linear",0,2.00072000447226,0.686631893860389,9.25633095360676,61.0674852280493,-4.62816547680338,6.63424394556867,0.871914648825543,-44.72550670972,34.0765663963859,6.09566144735161,0.120300776627832,22.36275335486,0,0,0,0,"part2"
"41",5,"Exp2","LGM","linear",0,1.65970579922258,0.202457532033875,-11.7109146784733,60.0262058482898,5.85545733923663,9.44630871861499,0.79779761293757,-62.4770007359565,34.6431628195482,9.35121012626382,0.131238492786858,31.2385003679783,0,0,0,0,"part1"
"42",5,"Exp2","LGM","linear",0,1.6011752216814,0.676616269165206,-13.2012991756534,61.6770043353692,6.60064958782668,10.7552883004811,0.745050710010727,-66.7197995774185,34.9177541344866,10.3251971569068,0.127277401145692,33.3598997887093,0,0,0,0,"part2"
"43",6,"Exp2","LGM","linear",0,1.48067844295708,0.0159514960614612,7.60742129445673,56.7707727662044,-3.80371064722837,3.1925719138359,0.815375018528759,-42.3381466239817,31.7979888069853,2.81079618399469,0.119474305739173,21.1690733119908,0,0,0,0,"part1"
"44",6,"Exp2","LGM","linear",0,1.38773116268168,0.00682553331268437,-12.5184895690547,55.9694543603921,6.25924478452736,2.11891384471592,0.799963601957038,-60.4147010657467,32.0213486120461,1.45197316254362,0.114288361932749,30.2073505328733,0,0,0,0,"part2"
"45",7,"Exp2","LGM","linear",0,0.878281946459971,0.0645070229002645,-15.1526006105194,59.6778564164969,7.57630030525969,6.08797144742906,0.887532876476779,-65.904345461758,34.3019839908776,5.76891814547369,0.113257369236841,32.952172730879,0,0,0,0,"part1"
"46",7,"Exp2","LGM","linear",0,0.959611074372817,0.0486559706508446,-14.1334624741794,63.2026618360381,7.06673123708972,5.507814650233,1.01978517508932,-69.1268955523402,35.7059452969578,5.4761017007541,0.128903105622261,34.5634477761701,0,0,0,0,"part2"
"47",8,"Exp2","LGM","linear",0,0.699071441365338,0.2221856760264,38.3606563144517,59.4641891018621,-19.1803281572258,7.40641191448597,0.89329532648776,-13.402263335047,33.5827292771128,7.33344020244636,0.126644425710892,6.7011316675235,0,0,0,0,"part1"
"48",8,"Exp2","LGM","linear",0,1.09133352344817,0.0741158717354625,16.7411159270383,59.7729585709725,-8.37055796351917,6.43718950529586,0.803862624777185,-34.1505194701824,34.3271408723622,6.02078352920787,0.114597105934934,17.0752597350912,0,0,0,0,"part2"
"49",9,"Exp2","LGM","linear",0,1.25262260572186,1.11989727032067,23.0837972852391,60.6630850760801,-11.5418986426196,4.55129312639278,1.11561919393464,-29.3377712670594,34.4523007999308,4.05525426377364,0.13564144030072,14.6688856335297,0,0,0,0,"part1"
"50",9,"Exp2","LGM","linear",0,1.08325545207339,0.87650774471645,21.5208356826255,61.8008584246302,-10.7604178413128,4.47022747481139,0.933006081976124,-32.256241854833,34.912319655901,4.00621205471732,0.125151894084644,16.1281209274165,0,0,0,0,"part2"
"51",10,"Exp2","LGM","linear",0,1.27948850738063,0.0259594720169479,9.71221693529,58.1421203995491,-4.856108467645,3.51451312411349,0.721873125728743,-40.2828423804104,33.1445907416989,3.37673873221728,0.119093706280568,20.1414211902052,0,0,0,0,"part1"
"52",10,"Exp2","LGM","linear",0,0.890232903039727,0.165750116144778,31.5050976593241,58.9067355756835,-15.752548829662,5.71401929665084,0.794830155498263,-19.2278578826345,33.5402578047041,5.66850075146273,0.108772869948421,9.61392894131727,0,0,0,0,"part2"
"53",11,"Exp2","LGM","linear",0,1.30690068246999,0.0137602623438043,-54.5859156405624,61.6028432876749,27.2929578202812,6.23793068780948,0.986014487965314,-108.376673754741,34.7074642305854,5.75278295665948,0.146945238675028,54.1883368773706,0,0,0,0,"part1"
"54",11,"Exp2","LGM","linear",0,1.25784415012486,0.0192898551398896,-41.9615030985514,63.0295579634249,20.9807515492757,7.31932022167209,0.854896504626498,-97.4004138387575,35.3101025933219,6.73430929570756,0.128730458114131,48.7002069193787,0,0,0,0,"part2"
"55",12,"Exp2","LGM","linear",0,1.56696927135515,0.0989101585256782,-7.17595483990829,60.8998889870756,3.58797741995414,7.59346076411172,0.824305696674842,-59.6154777022855,34.680127555887,7.42681980801818,0.115393681305481,29.8077388511428,0,0,0,0,"part1"
"56",12,"Exp2","LGM","linear",0,1.34247825292756,0.150560661509472,-5.46521164009229,63.2148502679513,2.73260582004615,7.86726443422632,0.832943374148115,-60.3174066814338,35.7887527472805,7.81860593539547,0.114122042573691,30.1587033407169,0,0,0,0,"part2"
"57",13,"Exp2","LGM","linear",0,1.38122656162121,0.00529319728191227,-59.2384733608616,54.2088985123851,29.6192366804308,2.8665534474787,0.813765490870538,-105.856410768691,30.8999298084705,2.51074205369093,0.119919508981784,52.9282053843454,0,0,0,0,"part1"
"58",13,"Exp2","LGM","linear",0,1.36739374760411,0.00315339480146969,-76.2584176496968,53.5994776444401,38.1292088248484,2.02217958600608,0.70363870618876,-120.713715338833,31.3718287998719,1.6096631192786,0.115902198114567,60.3568576694165,0,0,0,0,"part2"
"59",14,"Exp2","LGM","linear",0,0.667438155396279,0.139239837617294,40.6750174235609,61.3699844890426,-20.3375087117805,6.09285608751167,0.832778177894479,-12.8874165839974,34.5887674852633,5.88233238601047,0.107416620431158,6.44370829199872,0,0,0,0,"part1"
"60",14,"Exp2","LGM","linear",0,0.892751058038118,0.0920555906985298,34.058063649211,62.9872037240833,-17.0290318246055,5.40308149911574,0.793586496725641,-20.6988250666356,35.60875936616,5.432125503783,0.120885240405183,10.3494125333178,0,0,0,0,"part2"
"61",15,"Exp2","LGM","linear",0,1.18660590126558,0.00834830530097223,-43.9096326639007,62.0183563666877,21.9548163319503,3.04853271358997,0.915959260849374,-98.4300388531979,34.758153272039,2.41218333740655,0.102067124464764,49.2150194265989,0,0,0,0,"part1"
"62",15,"Exp2","LGM","linear",0,1.10474294502721,0.00625478359678087,-57.3560128235414,62.0331660430805,28.6780064117707,2.57079193268182,0.8603251071112,-110.197922594572,35.6122111575654,1.99423441541069,0.124152368123015,55.0989612972858,0,0,0,0,"part2"
"63",16,"Exp2","LGM","linear",0,1.11286021461566,0.0832777439226386,29.814143254129,59.819388948836,-14.9070716270645,5.67360145339576,0.771176933975275,-21.3537755515531,34.2354295459949,5.44150278164098,0.114446214233548,10.6768877757765,0,0,0,0,"part1"
"64",16,"Exp2","LGM","linear",0,0.944416083381665,0.578543768232896,44.1151742253576,60.881769270876,-22.0575871126788,7.63977862001713,0.725766582099938,-7.27796485550695,35.1851997304436,7.25100659321531,0.122871628846026,3.63898242775347,0,0,0,0,"part2"
"65",1,"Exp1","DIM","linear",0.203141770060469,0.729485573920682,0.128260329166702,20.3397891683644,59.6907475947186,-10.1698945841822,6.463606956158,0.754207967404938,-30.7270398178575,34.1573331016076,6.13509719370301,0.126480017248998,15.3635199089288,0,0,0,0,"part1"
"66",1,"Exp1","DIM","linear",0.0706978564105773,0.753643601550933,0.171854949920741,14.7550103461764,61.4091017479987,-7.37750517308821,5.9828491806716,0.975280984367493,-37.982584516502,35.0403043166595,5.99111148777553,0.130971534300389,18.991292258251,0,0,0,0,"part2"
"67",2,"Exp1","DIM","linear",-0.154873494925147,1.66585558991445,1.18677826244044,-22.3707133715439,58.9409481659995,11.1853566857719,6.47514683472941,0.740113783996739,-72.0929092059747,34.0798502487841,6.5599751624554,0.126888634666557,36.0464546029873,0,0,0,0,"part1"
"68",2,"Exp1","DIM","linear",-0.222533086260772,1.66917878846577,0.0260555265167149,-42.4895261678455,61.000851460931,21.2447630839227,4.78732935007878,0.92578274168025,-94.7517716315869,34.8697287290603,4.29975746970907,0.122348341368447,47.3758858157934,0,0,0,0,"part2"
"69",3,"Exp1","DIM","linear",0.272071199730358,0.711808752025706,0.172452484517803,24.6549527275007,58.8488393369678,-12.3274763637504,7.13181608953546,0.891685327619502,-24.839217663464,34.1017541414854,6.70905007080227,0.126041719296552,12.419608831732,0,0,0,0,"part1"
"70",3,"Exp1","DIM","linear",0.333683836891573,0.903720896800744,0.654466283740106,36.0196837041347,62.2486117280395,-18.0098418520673,7.53709923877686,0.799641060037559,-18.8448764080472,34.8163316719485,7.44971547325369,0.0997598651782248,9.42243820402362,0,0,0,0,"part2"
"71",4,"Exp1","DIM","linear",-0.193864535475119,1.62026963247827,1.12922584147074,-3.91819168050423,62.4386796965368,1.95909584025212,5.55084090782773,1.0462002561592,-58.8239653701311,34.9857928517234,5.22077562373783,0.150878236170847,29.4119826850655,0,0,0,0,"part1"
"72",4,"Exp1","DIM","linear",-0.148708254481115,1.50938205650144,1.15943008357551,-12.2924931696379,61.1398569035573,6.14624658481895,5.59248130552938,0.802971189667853,-63.5056380548475,35.5332844609525,5.36381694554111,0.121968152721117,31.7528190274237,0,0,0,0,"part2"
"73",5,"Exp1","DIM","linear",0.312040291630849,1.23799175830904,1.23541903931092,43.0036485482718,55.6197998276154,-21.5018242741359,7.43414727806901,0.763689224955624,-5.10581853368099,31.565066286639,7.44156517114703,0.111559277760789,2.5529092668405,0,0,0,0,"part1"
"74",5,"Exp1","DIM","linear",0.239279990398921,1.12113683693728,1.08019239603423,36.3680495313686,58.3148224815537,-18.1840247656843,7.91327114817871,0.885723485415084,-14.8816363702496,32.6899795307446,7.62626783272677,0.103063662647158,7.44081818512478,0,0,0,0,"part2"
"75",6,"Exp1","DIM","linear",-0.197370128292693,1.43340757878537,0.0165114878567442,-49.3773386733462,60.502944839692,24.6886693366731,5.286966614548,0.952069020059513,-101.037636759934,34.6727957963983,4.79364337647125,0.131267247926926,50.5188183799668,0,0,0,0,"part1"
"76",6,"Exp1","DIM","linear",0.0306489153173262,0.819798687589803,0.384693015635447,-9.29782326959567,61.1707316033067,4.64891163479783,9.49819427417245,1.06168071087209,-61.441711288402,35.0987875939035,9.29814655588621,0.11358338549974,30.720855644201,0,0,0,0,"part2"
"77",7,"Exp1","DIM","linear",0.0688210098324188,1.82127517809931,0.696168787324308,-25.9979849856511,60.1573869774214,12.9989924928256,6.65494284115911,0.857887141084407,-78.4466535990327,33.9330526707306,6.28683370375459,0.116263160283569,39.2233267995164,0,0,0,0,"part1"
"78",7,"Exp1","DIM","linear",0.118432597778138,1.6156231950338,1.09420402931946,-18.6807198124625,60.9524753555712,9.34035990623126,7.33868749289579,0.857580690571694,-71.4770136139077,34.5543284548486,6.80359442422141,0.119121834987723,35.7385068069539,0,0,0,0,"part2"
"79",8,"Exp1","DIM","linear",0.0819215745545523,1.45562654390691,0.0138243420722113,-39.8437398469196,58.6307206350537,19.9218699234598,4.90002887645228,0.758079093088241,-90.0130890054159,33.5460460558056,4.49926866214116,0.126781327663162,45.006544502708,0,0,0,0,"part1"
