"","Nsub","Exp","model","mu_p_s_log","mu_p_l_log","sig_pr2_s_log","sig_pr2_l_log","sig2_mn","sig2_t","looic","p_loo","elpd_loo","se_looic","se_p_loo","waic","p_waic","se_waic","se_p_waic","elpd_waic"
"11",11,"Exp1","Baseline",-0.605392062923356,0.581146454930488,0.0172094684184331,0.0817239510285152,0.000932549398951226,0.0241377854678535,39.0599638538612,130.0512535677,-19.5299819269306,15.2910042802385,0.953281548249041,-82.2476131099591,69.3974650857901,14.7778585228107,0.104725882843321,41.1238065549796
"12",12,"Exp1","Baseline",-0.377202445801445,0.75117694991796,0.240141286089269,0.0926319006697158,0.00116567495155936,0.0196044706845966,73.9382041946114,130.4523834027,-36.9691020973057,11.9157181739059,1.03604948514589,-46.1495659561203,70.4084983273342,11.5214932101092,0.13087821536146,23.0747829780601
"13",13,"Exp1","Baseline",-0.25012444550999,0.233221237039965,0.11026663850389,0.265089881408057,0.0019459999968317,0.019230698043438,75.4541603011078,127.56316852869,-37.7270801505539,10.765376524289,0.959089016780624,-41.3267743531595,69.1727012015566,10.4997917239888,0.10796925726003,20.6633871765798
"14",14,"Exp1","Baseline",-0.226789804928894,0.564334556346696,0.0512708843891623,0.0534680603886302,0.00386431073415036,0.0281181007567927,118.883883139269,129.74979998439,-59.4419415696346,8.64766001263379,0.969331295596936,-1.20976400592708,69.702976411792,8.4032579507674,0.113485124312086,0.604882002963542
"15",15,"Exp1","Baseline",-0.393770521778026,0.467687790589169,0.0292694190328245,0.107652637386731,0.00213052354110536,0.0371507201440018,113.925185695311,128.290495217396,-56.9625928476557,12.3106869682318,0.958910757609324,-3.10283435680541,69.7764851913376,12.3509051187898,0.0942555745148334,1.5514171784027
"16",16,"Exp1","Baseline",-0.404553191237937,0.343387682956424,0.00889269490393723,0.129135163469301,0.00363230076584474,0.0153818625032768,58.5778118005057,127.654351233095,-29.2889059002528,9.84476281954641,0.921494458226271,-58.4140264217897,69.158432121947,9.61835666613444,0.0947735621969492,29.2070132108948
"17",1,"Exp2","Baseline",-0.441826949911469,0.0852577026633262,0.0282355357761565,0.152887389164527,0.00350013999421666,0.0173341655367903,63.9253343579691,131.072117506596,-31.9626671789845,8.25293114489791,0.962244790914995,-56.6847938978026,70.7670533787105,8.3394171543272,0.103236613763937,28.3423969489013
"18",2,"Exp2","Baseline",-0.42605765679526,0.372084314812632,0.0152971171556444,0.0354855943577329,0.00151647092299309,0.0359269076893763,41.6392894177997,129.350928506604,-20.8196447088999,10.8607531296237,0.979318269913371,-75.7418646789446,70.6603514582316,10.8623455344155,0.114421646102233,37.8709323394723
"19",3,"Exp2","Baseline",-0.530071306141882,0.316827900456673,0.0235535433253003,0.0453238192184121,0.00107269909932541,0.0502052001829904,58.8844990782788,124.049259974465,-29.4422495391394,11.637453230958,0.82191720910349,-54.0871762701315,67.5634223002602,11.4921652559755,0.0908434572722866,27.0435881350658
"20",4,"Exp2","Baseline",-0.556254216932544,0.490795897254238,0.0156892302172518,0.0273731989161796,0.00453177819680468,0.0208568245773209,52.5220005008659,126.024603004056,-26.261000250433,7.08988584520245,0.971496446681301,-62.9704873376176,68.2783590848147,6.80121708132042,0.103632114827817,31.4852436688088
"21",5,"Exp2","Baseline",-0.558705358455248,0.243563227097162,0.0102603860047492,0.151010804953614,0.00127733506803888,0.0216191089498513,19.7739273082684,130.089691623289,-9.88696365413418,13.9329642376766,1.08723102482168,-99.8786246037515,70.2634156672789,13.8317873603948,0.101246581413128,49.9393123018757
"22",6,"Exp2","Baseline",-0.424047382715306,0.385405244567413,0.011590386361577,0.038907938261684,0.0059933160437359,0.16097459834784,120.245802586452,119.225951783912,-60.1229012932262,8.99677603682365,0.987714562531298,10.7269443125521,64.4665226469614,8.9279916552006,0.111057428858254,-5.36347215627604
"23",7,"Exp2","Baseline",-0.412603974842898,0.485663364024717,0.0162821891900714,0.0206582454351558,0.00179691487533052,0.0276537027255004,26.9707348076974,130.626231947467,-13.4853674038487,8.85696614188695,1.01730656508655,-92.7476634120609,70.7670328375874,8.92477551272285,0.11434053670866,46.3738317060305
