"","NSub","targetDur","RP","Exp","group","model","W_P_G","mu_r","sig_r","predY","W_PL","sig2_DL","log_lik","W_L","W_Ds","W_P_S","W_P_L"
"3300",9,0.663061306494331,0.653855084453426,"Exp2","mixed","IP",0,0.685476638924791,0.126668809750019,0.686233456296603,0.334990555508452,0,0.649847217775189,0.334990555508452,0.665009444491548,0.334990555508452,0.334990555508452
"3301",9,1.31,1.31789148439202,"Exp2","mixed","IP",0,1.32361533164128,0.147634840604276,1.32306840221928,0.155962537025171,0,0.496550813532961,0.155962537025171,0.844037462974829,0.155962537025171,0.155962537025171
"3302",9,0.663061306494331,0.709867885388121,"Exp2","mixed","IP",0,0.685476638924791,0.126668809750019,0.684869677362721,0.334990555508452,0,0.652230699980547,0.334990555508452,0.665009444491548,0.334990555508452,0.334990555508452
"3303",9,1.76834346805288,1.91787437915809,"Exp2","mixed","IP",0,1.70497495855822,0.173596999799084,1.70458940857023,0.155962537025171,0,0.336780788034161,0.155962537025171,0.844037462974829,0.155962537025171,0.155962537025171
"3304",9,1.60005476290647,1.48590873890862,"Exp2","mixed","IP",0,1.56691598174011,0.163472210944959,1.56736457609283,0.155962537025171,0,0.390633686033019,0.155962537025171,0.844037462974829,0.155962537025171,0.155962537025171
"3305",9,1.31,1.33386684041398,"Exp2","mixed","IP",0,1.32361533164128,0.147634840604276,1.32298126295489,0.155962537025171,0,0.493094952227891,0.155962537025171,0.844037462974829,0.155962537025171,0.155962537025171
"3306",9,0.542862864224572,0.581865061470126,"Exp2","mixed","IP",0,0.600145634196371,0.134441606104741,0.601056928596411,0.334990555508452,0,0.587177783309692,0.334990555508452,0.665009444491548,0.334990555508452,0.334990555508452
"3307",9,1.44778166151097,1.22188602315782,"Exp2","mixed","IP",0,1.44010323548196,0.154833123129284,1.4393288268132,0.155962537025171,0,0.448781255592273,0.155962537025171,0.844037462974829,0.155962537025171,0.155962537025171
"3308",9,0.4912,0.565906810682463,"Exp2","mixed","IP",0,0.561650511734698,0.139240930301278,0.56233785220181,0.334990555508452,0,0.552037716408873,0.334990555508452,0.665009444491548,0.334990555508452,0.334990555508452
"3309",9,0.7328,0.645858853824393,"Exp2","mixed","IP",0,0.732720015295703,0.123753094826479,0.731777866583241,0.334990555508452,0,0.671666969525719,0.334990555508452,0.665009444491548,0.334990555508452,0.334990555508452
"3310",9,1.954332247557,1.82981569887306,"Exp2","mixed","IP",0,1.85528431619667,0.185256730594351,1.85480208966559,0.155962537025171,0,0.266783334129494,0.155962537025171,0.844037462974829,0.155962537025171,0.155962537025171
"3311",9,1.954332247557,1.70190462121172,"Exp2","mixed","IP",0,1.85528431619667,0.185256730594351,1.85451436680148,0.155962537025171,0,0.271260168832271,0.155962537025171,0.844037462974829,0.155962537025171,0.155962537025171
"3312",9,0.4912,0.653929414472259,"Exp2","mixed","IP",0,0.561650511734698,0.139240930301278,0.56123965685426,0.334990555508452,0,0.556947414801107,0.334990555508452,0.665009444491548,0.334990555508452,0.334990555508452
"3313",9,0.4912,0.509991976089623,"Exp2","mixed","IP",0,0.561650511734698,0.139240930301278,0.561542844787719,0.334990555508452,0,0.555414912565764,0.334990555508452,0.665009444491548,0.334990555508452,0.334990555508452
"3314",9,1.44778166151097,1.65391697430186,"Exp2","mixed","IP",0,1.44010323548196,0.154833123129284,1.4394180477747,0.155962537025171,0,0.447920971924471,0.155962537025171,0.844037462974829,0.155962537025171,0.155962537025171
"3315",9,1.31,1.50193416661659,"Exp2","mixed","IP",0,1.32361533164128,0.147634840604276,1.32250035166041,0.155962537025171,0,0.492609209776646,0.155962537025171,0.844037462974829,0.155962537025171,0.155962537025171
"3316",9,0.542862864224572,0.589910741776293,"Exp2","mixed","IP",0,0.600145634196371,0.134441606104741,0.601563112440722,0.334990555508452,0,0.591557787209665,0.334990555508452,0.665009444491548,0.334990555508452,0.334990555508452
"3317",9,0.542862864224572,0.573885625070943,"Exp2","mixed","IP",0,0.600145634196371,0.134441606104741,0.599942584441263,0.334990555508452,0,0.59477803742062,0.334990555508452,0.665009444491548,0.334990555508452,0.334990555508452
"3318",9,0.7328,0.597883025076044,"Exp2","mixed","IP",0,0.732720015295703,0.123753094826479,0.73311459211944,0.334990555508452,0,0.67166596161462,0.334990555508452,0.665009444491548,0.334990555508452,0.334990555508452
"3319",9,1.954332247557,1.94193211398942,"Exp2","mixed","IP",0,1.85528431619667,0.185256730594351,1.85489384425794,0.155962537025171,0,0.271909469143314,0.155962537025171,0.844037462974829,0.155962537025171,0.155962537025171
"3320",9,0.663061306494331,0.725846040449142,"Exp2","mixed","IP",0,0.685476638924791,0.126668809750019,0.684511450781849,0.334990555508452,0,0.644752623324174,0.334990555508452,0.665009444491548,0.334990555508452,0.334990555508452
"3321",9,0.663061306494331,0.605886719806222,"Exp2","mixed","IP",0,0.685476638924791,0.126668809750019,0.685756001593523,0.334990555508452,0,0.647314748424169,0.334990555508452,0.665009444491548,0.334990555508452,0.334990555508452
"3322",9,0.7328,0.925941829762451,"Exp2","mixed","IP",0,0.732720015295703,0.123753094826479,0.732070436116521,0.334990555508452,0,0.671843253436278,0.334990555508452,0.665009444491548,0.334990555508452,0.334990555508452
"3323",9,1.954332247557,1.86983759357372,"Exp2","mixed","IP",0,1.85528431619667,0.185256730594351,1.85493631250716,0.155962537025171,0,0.27201629798938,0.155962537025171,0.844037462974829,0.155962537025171,0.155962537025171
"3324",9,1.44778166151097,1.45391946233576,"Exp2","mixed","IP",0,1.44010323548196,0.154833123129284,1.44123849839672,0.155962537025171,0,0.453185108985364,0.155962537025171,0.844037462974829,0.155962537025171,0.155962537025171
"3325",9,1.76834346805288,1.83789901069576,"Exp2","mixed","IP",0,1.70497495855822,0.173596999799084,1.70606166951742,0.155962537025171,0,0.336910518156894,0.155962537025171,0.844037462974829,0.155962537025171,0.155962537025171
"3326",9,0.4912,0.541889506404914,"Exp2","mixed","IP",0,0.561650511734698,0.139240930301278,0.562512240003236,0.334990555508452,0,0.554841913544849,0.334990555508452,0.665009444491548,0.334990555508452,0.334990555508452
"3327",9,0.542862864224572,0.645896174336485,"Exp2","mixed","IP",0,0.600145634196371,0.134441606104741,0.599784823831892,0.334990555508452,0,0.586827518827224,0.334990555508452,0.665009444491548,0.334990555508452,0.334990555508452
"3328",9,1.60005476290647,1.34991652645567,"Exp2","mixed","IP",0,1.56691598174011,0.163472210944959,1.56674755769188,0.155962537025171,0,0.3929997723393,0.155962537025171,0.844037462974829,0.155962537025171,0.155962537025171
"3329",9,1.954332247557,1.98198199907256,"Exp2","mixed","IP",0,1.85528431619667,0.185256730594351,1.85683389800916,0.155962537025171,0,0.265706315238225,0.155962537025171,0.844037462974829,0.155962537025171,0.155962537025171
"3330",9,0.599959465297448,0.55792892930549,"Exp2","mixed","IP",0,0.641355520405782,0.13024181203355,0.640699278739633,0.334990555508452,0,0.625820865487873,0.334990555508452,0.665009444491548,0.334990555508452,0.334990555508452
"3331",9,1.954332247557,1.77401189280226,"Exp2","mixed","IP",0,1.85528431619667,0.185256730594351,1.85614292611356,0.155962537025171,0,0.271120671060738,0.155962537025171,0.844037462974829,0.155962537025171,0.155962537025171
"3332",9,0.599959465297448,0.637906474797092,"Exp2","mixed","IP",0,0.641355520405782,0.13024181203355,0.640654568711373,0.334990555508452,0,0.619677968670549,0.334990555508452,0.665009444491548,0.334990555508452,0.334990555508452
