"","Nsub","Exp","model","mu_p_s","mu_p_l","sig_pr2_s","sig_pr2_l","sig2_mn","sig_t","looic","p_loo","elpd_loo","se_looic","se_p_loo","waic","p_waic","se_waic","se_p_waic","elpd_waic","ver"
"39",7,"Exp1","Baseline",0.566878950992564,1.84787358015283,0.000180407287452554,0.0166901700422527,0.00260369387369972,0.0126156966490627,31.9674552931893,127.080153181852,-15.9837276465946,9.49497956633247,0.909270404554986,-84.303082286444,68.9448843920353,9.29653357291416,0.109337483564459,42.151541143222,"log"
"40",8,"Exp1","Baseline",0.620502427443369,1.54616925902087,0.000121815563992574,0.0128915703893158,0.00108521881644708,0.0513224026490841,96.7368203650942,128.12355598895,-48.3684101825471,14.7985926894973,1.17536977188036,-23.1330552268269,68.1886181929894,14.7656406024354,0.106559282355192,11.5665276134135,"log"
"41",9,"Exp1","Baseline",0.663492661321718,1.60681101971715,0.000360463755990981,0.000903943237911413,0.0029437456235717,0.0199921712160241,39.1796981821143,128.539088074237,-19.5898490910571,6.99202319805353,0.975691632058281,-78.6104896261928,69.6439941700839,6.51289109387423,0.112875495721627,39.3052448130964,"log"
"42",10,"Exp1","Baseline",0.639069295894623,2.34082747367973,2.60213960732974e-05,0.00235721126872792,0.01015738557422,0.00799078480643787,87.5620580409119,131.305995113039,-43.7810290204559,3.59596276089156,0.952266254174249,-34.2671282803072,70.3914019524297,3.0799079327777,0.0908084701953753,17.1335641401536,"log"
"43",11,"Exp1","Baseline",0.54594121164079,1.79406834082491,8.82858256767237e-05,0.0215688885185605,0.000932549398951226,0.0241377854678535,39.0599638538612,130.0512535677,-19.5299819269306,15.2910042802385,0.953281548249041,-82.2476131099591,69.3974650857901,14.7778585228107,0.104725882843321,41.1238065549796,"log"
"44",12,"Exp1","Baseline",0.705838707544016,2.12860595541391,0.0295751662648213,0.0390459772732664,0.00116567495155936,0.0196044706845966,73.9382041946114,130.4523834027,-36.9691020973057,11.9157181739059,1.03604948514589,-46.1495659561203,70.4084983273342,11.5214932101092,0.13087821536146,23.0747829780601,"log"
"45",13,"Exp1","Baseline",0.783452315650664,1.30781467818534,0.00750855416001602,0.124516694822046,0.0019459999968317,0.019230698043438,75.4541603011078,127.56316852869,-37.7270801505539,10.765376524289,0.959089016780624,-41.3267743531595,69.1727012015566,10.4997917239888,0.10796925726003,20.6633871765798,"log"
"46",14,"Exp1","Baseline",0.798136651959387,1.7607924670627,0.00167674518612447,0.00887618077479996,0.00386431073415036,0.0281181007567927,118.883883139269,129.74979998439,-59.4419415696346,8.64766001263379,0.969331295596936,-1.20976400592708,69.702976411792,8.4032579507674,0.113485124312086,0.604882002963542,"log"
"47",15,"Exp1","Baseline",0.674797810937207,1.60557562277344,0.000390266773254826,0.0300489879074519,0.00213052354110536,0.0371507201440018,113.925185695311,128.290495217396,-56.9625928476557,12.3106869682318,0.958910757609324,-3.10283435680541,69.7764851913376,12.3509051187898,0.0942555745148334,1.5514171784027,"log"
"48",16,"Exp1","Baseline",0.667301273106828,1.42151844560265,3.52150138887448e-05,0.0339797506736013,0.00363230076584474,0.0153818625032768,58.5778118005057,127.654351233095,-29.2889059002528,9.84476281954641,0.921494458226271,-58.4140264217897,69.158432121947,9.61835666613444,0.0947735621969492,29.2070132108948,"log"
"49",1,"Exp2","Baseline",0.643117183006316,1.10179975043089,0.000329871977419889,0.0287100715423562,0.00350013999421666,0.0173341655367903,63.9253343579691,131.072117506596,-31.9626671789845,8.25293114489791,0.962244790914995,-56.6847938978026,70.7670533787105,8.3394171543272,0.103236613763937,28.3423969489013,"log"
"50",2,"Exp2","Baseline",0.653155101873163,1.45166899932229,9.9839557275475e-05,0.00265529537429148,0.00151647092299309,0.0359269076893763,41.6392894177997,129.350928506604,-20.8196447088999,10.8607531296237,0.979318269913371,-75.7418646789446,70.6603514582316,10.8623455344155,0.114421646102233,37.8709323394723,"log"
"51",3,"Exp2","Baseline",0.588726281042149,1.37417702512929,0.000192335663358076,0.00388315310821469,0.00107269909932541,0.0502052001829904,58.8844990782788,124.049259974465,-29.4422495391394,11.637453230958,0.82191720910349,-54.0871762701315,67.5634223002602,11.4921652559755,0.0908434572722866,27.0435881350658,"log"
"52",4,"Exp2","Baseline",0.573423271666235,1.63422803542393,8.09482291199222e-05,0.00200188505239764,0.00453177819680468,0.0208568245773209,52.5220005008659,126.024603004056,-26.261000250433,7.08988584520245,0.971496446681301,-62.9704873376176,68.2783590848147,6.80121708132042,0.103632114827817,31.4852436688088,"log"
"53",5,"Exp2","Baseline",0.571979160650756,1.29041691838358,3.44437693175481e-05,0.0384093922110633,0.00127733506803888,0.0216191089498513,19.7739273082684,130.089691623289,-9.88696365413418,13.9329642376766,1.08723102482168,-99.8786246037515,70.2634156672789,13.8317873603948,0.101246581413128,49.9393123018757,"log"
"54",6,"Exp2","Baseline",0.654436830345309,1.47132323888964,5.75387553032715e-05,0.00327960386942818,0.0059933160437359,0.16097459834784,120.245802586452,119.225951783912,-60.1229012932262,8.99677603682365,0.987714562531298,10.7269443125521,64.4665226469614,8.9279916552006,0.111057428858254,-5.36347215627604,"log"
"55",7,"Exp2","Baseline",0.662012116726439,1.6255996215196,0.000116202384296163,0.00112799381521369,0.00179691487533052,0.0276537027255004,26.9707348076974,130.626231947467,-13.4853674038487,8.85696614188695,1.01730656508655,-92.7476634120609,70.7670328375874,8.92477551272285,0.11434053670866,46.3738317060305,"log"
"56",8,"Exp2","Baseline",0.677197219658312,1.56535605413298,0.000156877922069923,0.00341623187801236,0.00277173809042076,0.179592766152455,113.585400873479,127.908555588954,-56.7927004367395,10.6306646558992,1.07592794611429,-4.28436789813778,68.9736712031457,10.7434702733089,0.110035814242484,2.14218394906889,"log"
"57",9,"Exp2","Baseline",0.739878481138472,1.31290349935752,0.000346939609540235,0.00988881697172086,0.00851044367137539,0.0104245208492395,76.0396200911383,129.547524757977,-38.0198100455692,3.50793122390367,1.01414626275828,-43.0589647752372,69.9982323247893,3.10994043095831,0.10347392748917,21.5294823876186,"log"
"58",10,"Exp2","Baseline",0.659032801395527,1.38786473116394,9.51385575790369e-05,0.0545790538732966,0.00744764472196121,0.0216920863607452,108.493636224664,124.77014584155,-54.2468181123318,7.55940245328255,1.04038639827062,-6.81858083194658,67.1140373132448,6.91698162062867,0.101966688075049,3.40929041597329,"log"
"59",11,"Exp2","Baseline",0.559166971399722,1.34469559215595,4.03858366545126e-05,0.0144404491941089,0.000640692380051872,0.0421898870426586,37.3043618307391,130.033359656382,-18.6521809153695,16.7395279732023,1.13235288103756,-82.5013688491317,70.1304943164468,16.6274025194699,0.101781939067086,41.2506844245658,"log"
"60",12,"Exp2","Baseline",0.61447820342491,1.30983418164416,6.75528520417672e-05,0.00637378943308546,0.00173225839151052,0.0288001819841715,40.8132184615628,130.304017401629,-20.4066092307814,11.7634106294178,0.964302466712885,-78.434957884594,70.6799292285501,11.7677802665099,0.114930908419409,39.217478942297,"log"
"61",13,"Exp2","Baseline",0.560395232872121,1.44279832571186,1.79050955419079e-05,0.00403524226996382,0.00210843279994001,0.369552747787151,87.1168992128493,117.193574464208,-43.5584496064246,15.026519060679,0.921262017916187,-20.4512218500876,63.40951393274,14.7540548590081,0.0932770003746322,10.2256109250438,"log"
"62",14,"Exp2","Baseline",0.653730223447383,1.47009483401149,0.000219493589946873,0.00305875289776596,0.00453569866765033,0.113832201444645,126.937752778312,130.309016462692,-63.4688763891558,8.88762888979422,0.991714701653623,7.86410726673533,70.7721937069034,8.68065270381882,0.108255695624735,-3.93205363336766,"log"
"63",15,"Exp2","Baseline",0.643768851579041,1.43816068490844,3.90437073030843e-05,0.000699268157071651,0.00264245041595406,0.634570501691519,48.6646774638496,130.490141194094,-24.3323387319248,9.39293118079792,0.986743806161742,-70.570270270243,70.8726673270473,9.18025356223275,0.102244071004642,35.2851351351215,"log"
"64",16,"Exp2","Baseline",0.699628723560167,1.10052407783654,0.000961280708721321,0.0130133436904892,0.00242033878376669,0.0464243297195113,126.928073165074,129.717025748322,-63.464036582537,9.88722228139944,0.937675316648555,6.99635791081288,69.751168121191,9.61566588243527,0.101998966839245,-3.49817895540644,"log"
