"","curDur","wp","mu_r","sig_r","predY","NSub","exp","model","group","ver"
"6578",2.01,0.467217143005302,1.88376400467998,0.253116806454047,1.88514458769409,1,"Exp1","baseline","long","log"
"6579",2.02,0.467217143005302,1.8887546697333,0.253721873107236,1.88840639275359,1,"Exp1","baseline","long","log"
"6580",2.03,0.467217143005302,1.8937339116996,0.25432570985111,1.89453795833778,1,"Exp1","baseline","long","log"
"6581",2.04,0.467217143005302,1.89870181305955,0.254928324530447,1.89775988382784,1,"Exp1","baseline","long","log"
"6582",2.05,0.467217143005302,1.90365845529676,0.255529724906554,1.90282280139772,1,"Exp1","baseline","long","log"
"6583",2.06,0.467217143005302,1.90860391891463,0.256129918658508,1.90847559161858,1,"Exp1","baseline","long","log"
"6584",2.07,0.467217143005302,1.91353828345286,0.256728913384367,1.91365684172389,1,"Exp1","baseline","long","log"
"6585",2.08,0.467217143005302,1.91846162750353,0.257326716602369,1.9165706637549,1,"Exp1","baseline","long","log"
"6586",2.09,0.467217143005302,1.92337402872696,0.257923335752092,1.92194707937943,1,"Exp1","baseline","long","log"
"6587",2.1,0.467217143005302,1.9282755638671,0.258518778195613,1.92829275055839,1,"Exp1","baseline","long","log"
"6588",2.11,0.467217143005302,1.9331663087667,0.259113051218625,1.93176089573347,1,"Exp1","baseline","long","log"
"6589",2.12,0.467217143005302,1.93804633838209,0.259706162031548,1.93840407838956,1,"Exp1","baseline","long","log"
"6590",2.13,0.467217143005302,1.94291572679767,0.26029811777061,1.94364454383457,1,"Exp1","baseline","long","log"
"6591",2.14,0.467217143005302,1.94777454724011,0.260888925498916,1.94786890847918,1,"Exp1","baseline","long","log"
"6592",2.15,0.467217143005302,1.95262287209223,0.261478592207492,1.95364326493111,1,"Exp1","baseline","long","log"
"6593",2.16,0.467217143005302,1.95746077290661,0.262067124816309,1.95889262263729,1,"Exp1","baseline","long","log"
"6594",2.17,0.467217143005302,1.96228832041891,0.262654530175294,1.96156915164257,1,"Exp1","baseline","long","log"
"6595",2.18,0.467217143005302,1.9671055845609,0.263240815065316,1.96689910671447,1,"Exp1","baseline","long","log"
"6596",2.19,0.467217143005302,1.97191263447328,0.26382598619916,1.97258347132182,1,"Exp1","baseline","long","log"
"6597",2.2,0.467217143005302,1.97670953851818,0.264410050222482,1.975309418258,1,"Exp1","baseline","long","log"
"6598",2.21,0.467217143005302,1.9814963642914,0.264993013714739,1.98170682152032,1,"Exp1","baseline","long","log"
"6599",2.22,0.467217143005302,1.98627317863446,0.26557488319012,1.9872925111019,1,"Exp1","baseline","long","log"
"6600",2.23,0.467217143005302,1.99104004764638,0.266155665098439,1.99053054930088,1,"Exp1","baseline","long","log"
"6601",2.24,0.467217143005302,1.99579703669519,0.266735365826029,1.99410954913569,1,"Exp1","baseline","long","log"
"6602",2.25,0.467217143005302,2.00054421042926,0.267313991696613,2.00163891013831,1,"Exp1","baseline","long","log"
"6603",2.26,0.467217143005302,2.00528163278839,0.26789154897216,2.00553800478209,1,"Exp1","baseline","long","log"
"6604",2.27,0.467217143005302,2.01000936701467,0.268468043853725,2.01124327536858,1,"Exp1","baseline","long","log"
"6605",2.28,0.467217143005302,2.01472747566313,0.269043482482281,2.01307366339551,1,"Exp1","baseline","long","log"
"6606",2.29,0.467217143005302,2.01943602061218,0.269617870939526,2.02130810107679,1,"Exp1","baseline","long","log"
"6607",2.3,0.467217143005302,2.02413506307386,0.270191215248685,2.02494765772766,1,"Exp1","baseline","long","log"
"6608",2.31,0.467217143005302,2.02882466360389,0.270763521375293,2.03036253637961,1,"Exp1","baseline","long","log"
"6609",2.32,0.467217143005302,2.0335048821115,0.27133479522797,2.03344827971139,1,"Exp1","baseline","long","log"
"6610",2.33,0.467217143005302,2.03817577786909,0.271905042659173,2.03683330838538,1,"Exp1","baseline","long","log"
"6611",2.34,0.467217143005302,2.04283740952172,0.272474269465946,2.04176522800197,1,"Exp1","baseline","long","log"
"6612",2.35,0.467217143005302,2.04748983509639,0.273042481390651,2.04777445881781,1,"Exp1","baseline","long","log"
"6613",2.36,0.467217143005302,2.05213311201114,0.273609684121688,2.05291066426119,1,"Exp1","baseline","long","log"
"6614",2.37,0.467217143005302,2.05676729708402,0.274175883294203,2.05655703708241,1,"Exp1","baseline","long","log"
"6615",2.38,0.467217143005302,2.06139244654186,0.274741084490784,2.06221750923232,1,"Exp1","baseline","long","log"
"6616",2.39,0.467217143005302,2.06600861602887,0.275305293242147,2.06611690214217,1,"Exp1","baseline","long","log"
"6617",2.4,0.467217143005302,2.07061586061509,0.275868515027805,2.0726479983604,1,"Exp1","baseline","long","log"
"6618",1.2,0.405368257736072,1.32648674775766,0.165920932688284,1.32684048912498,2,"Exp1","baseline","long","log"
"6619",1.21,0.405368257736072,1.33304193903575,0.166653316743136,1.33230779776781,2,"Exp1","baseline","long","log"
"6620",1.22,0.405368257736072,1.33957533639543,0.16738364358542,1.34052224464469,2,"Exp1","baseline","long","log"
"6621",1.23,0.405368257736072,1.34608719083691,0.168111932663766,1.34532279314217,2,"Exp1","baseline","long","log"
"6622",1.24,0.405368257736072,1.3525777484532,0.168838203122766,1.35253800489074,2,"Exp1","baseline","long","log"
"6623",1.25,0.405368257736072,1.35904725056485,0.169562473809458,1.35823317595667,2,"Exp1","baseline","long","log"
"6624",1.26,0.405368257736072,1.36549593384986,0.170284763279634,1.3662333901461,2,"Exp1","baseline","long","log"
"6625",1.27,0.405368257736072,1.37192403046916,0.171005089803995,1.37133390441036,2,"Exp1","baseline","long","log"
"6626",1.28,0.405368257736072,1.37833176818762,0.171723471374129,1.37938078245474,2,"Exp1","baseline","long","log"
"6627",1.29,0.405368257736072,1.38471937049101,0.172439925708341,1.38525644643731,2,"Exp1","baseline","long","log"
