"","Nsub","Exp","model","ver","phi","mu_p_g","sig2_p_g","looic","p_loo","elpd_loo","se_looic","se_p_loo","waic","p_waic","se_waic","se_p_waic","elpd_waic","mu_p_s_IR","mu_p_l_IR","sig_pr2_s_IR","sig_pr2_l_IR","part"
"210",9,"Exp1","IP","log",0,0,0,23.692504990048,65.9601173986494,-11.846252495024,7.14581908100885,0.672419067152465,-37.5953438987401,35.3161929542553,7.55492651593241,0.0746361073658374,18.79767194937,0.779695958525076,1.66428153707328,0.0142632414983547,0.189203865069643,"part2"
"211",10,"Exp1","IP","log",0,0,0,27.8746636286026,64.4821189208636,-13.9373318143013,4.28439777290403,0.742711106225556,-31.9057823961324,34.5918959084961,4.01898905322252,0.0772341461516009,15.9528911980662,0.822113862582838,2.18192791313843,0.0108113890025901,0.118167012099104,"part1"
"212",10,"Exp1","IP","log",0,0,0,30.9844338523965,66.4956432824735,-15.4922169261982,4.08116246791532,0.837533162989629,-31.7008363298434,35.1530081913536,3.62857640089888,0.0682648782080907,15.8504181649217,0.713390248244253,1.87995124845532,0.0585442241741367,0.0650840360638926,"part2"
"213",11,"Exp1","IP","log",0,0,0,42.3111339751842,63.9623789177809,-21.1555669875921,8.93673055253784,0.806088709106024,-17.5860987937027,34.0137625333374,8.92525159166438,0.07135018770027,8.79304939685135,0.738020738852333,1.75858571458185,0.916745424597698,0.90021519992198,"part1"
"214",11,"Exp1","IP","log",0,0,0,42.7467135013567,64.0321924465458,-21.3733567506783,8.87868489855546,0.637573990797832,-16.1256479397059,34.5960117260145,8.93691803981229,0.0720952352215303,8.06282396985294,0.704995964275597,1.8698191226239,0.906550464167324,0.719179124202639,"part2"
"215",12,"Exp1","IP","log",0,0,0,35.5232541936313,63.9323934800135,-17.7616270968156,8.89311429669925,0.768870985742029,-23.2840989351391,34.5287169156283,8.6345474079831,0.0716469586267728,11.6420494675696,0.919792900566279,2.08927720177869,0.0730408709136452,0.723602497320496,"part1"
"216",12,"Exp1","IP","log",0,0,0,30.1750887484608,65.1294285049227,-15.0875443742304,9.30105586073842,0.672647890314614,-29.9893052370489,35.0472315121678,9.16436778237147,0.0646032869442956,14.9946526185245,0.927262961972591,1.88928281529187,0.0644997911617123,1.04868594377792,"part2"
"217",13,"Exp1","IP","log",0,0,0,29.7914246271851,63.4237891896838,-14.8957123135926,8.53365220004236,0.629102068369301,-28.8333538314887,34.1113999603469,8.51416775236924,0.0695127592585684,14.4166769157443,0.853835305295726,2.06207235291943,0.109759094870236,0.895125514847726,"part1"
"218",13,"Exp1","IP","log",0,0,0,37.2621804111599,64.8160995693281,-18.63109020558,8.8629508040728,0.80591987914449,-23.0885276427552,34.6407455423706,8.62960530809743,0.0688271992201871,11.5442638213776,0.878307740926012,2.16655003085401,0.0447993014054987,0.958755406678951,"part2"
"219",14,"Exp1","IP","log",0,0,0,56.9776700465224,64.4284234583873,-28.4888350232612,7.42789278959819,0.759775358391977,-3.29174874133344,34.2937140644594,7.43394321964591,0.0758876126063115,1.64587437066672,0.817316124400061,1.82121957679073,0.155657859247586,0.411413717501994,"part1"
"220",14,"Exp1","IP","log",0,0,0,62.290753133724,65.3057460044692,-31.145376566862,8.11575226019427,0.612086141020576,1.77150388217727,35.0461213786958,8.06916989952313,0.0600803028171866,-0.885751941088636,0.889966461948705,1.83230505433945,0.0519380354733835,0.824057612430903,"part2"
"221",15,"Exp1","IP","log",0,0,0,63.3358993385352,63.4500893302176,-31.6679496692676,8.46837860189954,0.691306788070846,4.85641304291645,34.2103461824082,8.21250022668092,0.0754286318443909,-2.42820652145822,0.865615964633603,1.28709670767027,0.116488660826038,0.66694490443237,"part1"
"222",15,"Exp1","IP","log",0,0,0,69.3958221978195,66.2665295683585,-34.6979110989097,8.56844495610928,0.861924994171365,7.70133196501789,35.4192844519577,8.26580108221046,0.0866792014231242,-3.85066598250895,0.892870791444518,1.25459436418655,0.0449833722977714,0.298592342313815,"part2"
"223",16,"Exp1","IP","log",0,0,0,31.859390475433,63.7124613560018,-15.9296952377165,7.41651701226959,0.666631710363559,-27.6471846105489,33.9591738130108,7.27758595970872,0.0694362225968733,13.8235923052745,0.690653767220624,1.22601435320339,0.87161700431248,0.616557353987895,"part1"
"224",16,"Exp1","IP","log",0,0,0,29.6449456047846,64.6843377865063,-14.8224728023923,6.99612114576032,0.727561870632207,-30.4809371865645,34.6213963908318,6.74816312962471,0.0786276666010092,15.2404685932822,0.843809835711619,1.14990147872157,0.364688355714026,0.210052623560808,"part2"
"225",1,"Exp2","IP","log",0,0,0,27.5695050228721,64.2301070399608,-13.7847525114361,5.85503712901906,0.686542179780604,-31.6963676702465,34.5971706934015,5.81547188788197,0.0650061317385398,15.8481838351232,0.553545233589949,1.21222924266355,0.962668001619852,0.236992027081215,"part1"
"226",1,"Exp2","IP","log",0,0,0,32.4343723203113,65.9839015488461,-16.2171861601557,6.27469046475695,0.829554489516008,-28.2049496168558,35.6642405802626,5.95699166354074,0.0814604985558239,14.1024748084279,0.627099952108348,1.26941230946477,0.89444014252362,0.32634004783368,"part2"
"227",2,"Exp2","IP","log",0,0,0,22.8656671964652,64.6956976213679,-11.4328335982326,10.7880057041747,0.631600601607893,-35.7497466697488,35.3879906882609,10.4863598788113,0.0693674104823062,17.8748733348744,0.679608265815478,1.27467544961382,0.00504316147822577,0.242387564333064,"part1"
"228",2,"Exp2","IP","log",0,0,0,13.2707968547697,68.3661151432729,-6.63539842738486,8.51802359230398,0.75646062500806,-50.2959360951094,36.5827486683333,8.59702887374628,0.0860679217150516,25.1479680475547,0.631485201409344,1.5039292264012,0.00832040859592395,0.0850281679122767,"part2"
"229",3,"Exp2","IP","log",0,0,0,46.1949512220039,62.4637429726298,-23.0974756110019,5.57434246294347,0.809432484320666,-11.296697481066,33.7179186210949,5.24032335122431,0.0763096617119346,5.648348740533,0.779640564404254,1.09315723389001,0.0859053199575687,0.0637796530116901,"part1"
"230",3,"Exp2","IP","log",0,0,0,64.8699916444748,64.0526929385622,-32.4349958222374,6.50338918749956,0.73502319839691,6.47497589584808,34.8551850642489,6.28688989918788,0.0979016514348667,-3.23748794792404,0.701493153118334,1.09550389052269,0.466967462062352,0.157642132176924,"part2"
