"","Nsub","Exp","model","ver","part","m_mu_p_g","m_sig2_p_g","m_mu_p_s_IR","m_mu_p_l_IR","m_sig_pr2_l_IR"
"38",1,"Exp2","LGM","linear","part1",1.12883810809465,0,0,0,0
"39",1,"Exp2","LGM","linear","part2",1.30831411529264,0,0,0,0
"40",1,"Exp2","LGM","log","all",0.945642421051422,0,0,0,0
"41",1,"Exp2","LGM","log","part1",0.838648578233013,0,0,0,0
"42",1,"Exp2","LGM","log","part2",1.17908131039547,0,0,0,0
"43",1,"Exp2","PIM","linear","all",1.11644361241833,0,0,0,0
"44",1,"Exp2","PIM","linear","part1",1.13691986763239,0,0,0,0
"45",1,"Exp2","PIM","linear","part2",1.30954306906194,0,0,0,0
"46",1,"Exp2","PIM","log","all",0.945159783556329,0,0,0,0
"47",1,"Exp2","PIM","log","part1",0.856467306570053,0,0,0,0
"48",1,"Exp2","PIM","log","part2",1.18740399202201,0,0,0,0
"49",2,"Exp1","DIM","linear","all",1.4071802327195,0,0,0,0
"50",2,"Exp1","DIM","linear","part1",1.66585558991445,0,0,0,0
"51",2,"Exp1","DIM","linear","part2",1.66917878846577,0,0,0,0
"52",2,"Exp1","DIM","log","all",1.76060396452272,0,0,0,0
"53",2,"Exp1","DIM","log","part1",1.43745450339667,0,0,0,0
"54",2,"Exp1","DIM","log","part2",1.5737572070559,0,0,0,0
"55",2,"Exp1","IP","linear","all",0,0.180503646037454,0.771779972948517,1.45461947858822,0.219215845143231
"56",2,"Exp1","IP","linear","part1",0,0.520036589032005,0.595132326349267,1.44294550044666,0.618653225621727
"57",2,"Exp1","IP","linear","part2",0,0.113037731681654,0.865861215714458,1.47025836156488,0.136746463316181
"58",2,"Exp1","IP","log","all",0,0.388967300319954,0.774162807695919,1.38906027647185,0.159413719454287
"59",2,"Exp1","IP","log","part1",0,0.836927998850891,0.522096888775093,1.38707023996179,0.725982580767478
"60",2,"Exp1","IP","log","part2",0,0.312411445640513,0.849510327738105,1.42916754970006,0.105172059132585
"61",2,"Exp1","LGM","linear","all",1.90907513138338,0,0,0,0
"62",2,"Exp1","LGM","linear","part1",1.79199471780961,0,0,0,0
"63",2,"Exp1","LGM","linear","part2",1.68110759989659,0,0,0,0
"64",2,"Exp1","LGM","log","all",2.08299497666158,0,0,0,0
"65",2,"Exp1","LGM","log","part1",1.82176821218414,0,0,0,0
"66",2,"Exp1","LGM","log","part2",1.77222098062434,0,0,0,0
"67",2,"Exp1","PIM","linear","all",1.90586861167695,0,0,0,0
"68",2,"Exp1","PIM","linear","part1",1.79593444699144,0,0,0,0
"69",2,"Exp1","PIM","linear","part2",1.68020547205215,0,0,0,0
"70",2,"Exp1","PIM","log","all",2.07869150631126,0,0,0,0
"71",2,"Exp1","PIM","log","part1",1.8114793120315,0,0,0,0
"72",2,"Exp1","PIM","log","part2",1.78053481930892,0,0,0,0
"73",2,"Exp2","DIM","linear","all",1.23081352032496,0,0,0,0
"74",2,"Exp2","DIM","linear","part1",1.26960729329941,0,0,0,0
"75",2,"Exp2","DIM","linear","part2",1.41441908222143,0,0,0,0
"76",2,"Exp2","DIM","log","all",1.05251323202642,0,0,0,0
"77",2,"Exp2","DIM","log","part1",1.22888972454902,0,0,0,0
"78",2,"Exp2","DIM","log","part2",0.944790547767405,0,0,0,0
"79",2,"Exp2","IP","linear","all",0,0.00403638101137135,0.658829178933549,1.45962260622103,0.103500157176593
"80",2,"Exp2","IP","linear","part1",0,0.00396843399251102,0.683984600092703,1.30004911803312,0.311682726722002
"81",2,"Exp2","IP","linear","part2",0,0.00511957305697893,0.634774129149126,1.52677070392655,0.0942448843553049
"82",2,"Exp2","IP","log","all",0,0.005128836003715,0.653763651404504,1.42164076159849,0.0898269598001811
"83",2,"Exp2","IP","log","part1",0,0.00525696647357008,0.679927369844003,1.27037006818744,0.241719185078055
"84",2,"Exp2","IP","log","part2",0,0.00590306225692907,0.629793861164843,1.50409755899014,0.0875107425817542
"85",2,"Exp2","LGM","linear","all",1.39484690764715,0,0,0,0
"86",2,"Exp2","LGM","linear","part1",1.31509176664881,0,0,0,0
"87",2,"Exp2","LGM","linear","part2",1.50565781969241,0,0,0,0
"88",2,"Exp2","LGM","log","all",0.925494170338497,0,0,0,0
"89",2,"Exp2","LGM","log","part1",1.23767005536457,0,0,0,0
"90",2,"Exp2","LGM","log","part2",0.78921589513932,0,0,0,0
"91",2,"Exp2","PIM","linear","all",1.40183537401836,0,0,0,0
"92",2,"Exp2","PIM","linear","part1",1.30994878390675,0,0,0,0
"93",2,"Exp2","PIM","linear","part2",1.52317157734602,0,0,0,0
"94",2,"Exp2","PIM","log","all",0.922758451455781,0,0,0,0
"95",2,"Exp2","PIM","log","part1",1.24447875072829,0,0,0,0
"96",2,"Exp2","PIM","log","part2",0.781605717442689,0,0,0,0
"97",3,"Exp1","DIM","linear","all",0.667877188538064,0,0,0,0
"98",3,"Exp1","DIM","linear","part1",0.711808752025706,0,0,0,0
"99",3,"Exp1","DIM","linear","part2",0.903720896800744,0,0,0,0
"100",3,"Exp1","DIM","log","all",0.866178570344676,0,0,0,0
"101",3,"Exp1","DIM","log","part1",0.895815594138878,0,0,0,0
"102",3,"Exp1","DIM","log","part2",1.00065214405805,0,0,0,0
"103",3,"Exp1","IP","linear","all",0,0.0161209605078944,0.677948501282178,1.12857380088292,0.146233654381592
"104",3,"Exp1","IP","linear","part1",0,0.0253991749480241,0.721274075730576,1.11228618895395,0.137686403193912
"105",3,"Exp1","IP","linear","part2",0,0.0618760257057994,0.658321480170166,1.17223164977995,0.169820750899683
"106",3,"Exp1","IP","log","all",0,0.0239887969739857,0.648081222626382,1.12917093946757,0.0862509448719076
"107",3,"Exp1","IP","log","part1",0,0.0682235735418535,0.694442677295583,1.10621599319391,0.0820383160943588
"108",3,"Exp1","IP","log","part2",0,0.196452587631364,0.655730021420225,1.17886969589639,0.101976549310501
"109",3,"Exp1","LGM","linear","all",0.80089027576691,0,0,0,0
"110",3,"Exp1","LGM","linear","part1",0.862555305139884,0,0,0,0
"111",3,"Exp1","LGM","linear","part2",0.959836331812137,0,0,0,0
"112",3,"Exp1","LGM","log","all",1.0455008541647,0,0,0,0
"113",3,"Exp1","LGM","log","part1",1.06926311024214,0,0,0,0
"114",3,"Exp1","LGM","log","part2",1.02197484917711,0,0,0,0
"115",3,"Exp1","PIM","linear","all",0.799755705582161,0,0,0,0
"116",3,"Exp1","PIM","linear","part1",0.859970032822629,0,0,0,0
"117",3,"Exp1","PIM","linear","part2",0.95949384006756,0,0,0,0
"118",3,"Exp1","PIM","log","all",1.05105922158566,0,0,0,0
"119",3,"Exp1","PIM","log","part1",1.07151986435583,0,0,0,0
"120",3,"Exp1","PIM","log","part2",1.01486811028488,0,0,0,0
"121",3,"Exp2","DIM","linear","all",0.627950448924985,0,0,0,0
"122",3,"Exp2","DIM","linear","part1",0.753580587840166,0,0,0,0
"123",3,"Exp2","DIM","linear","part2",0.761516111149468,0,0,0,0
"124",3,"Exp2","DIM","log","all",0.984215795718569,0,0,0,0
"125",3,"Exp2","DIM","log","part1",1.00566023021574,0,0,0,0
"126",3,"Exp2","DIM","log","part2",0.942626549868391,0,0,0,0
"127",3,"Exp2","IP","linear","all",0,0.0243739866726599,0.731433279990118,1.06236301348417,0.128612872860435
"128",3,"Exp2","IP","linear","part1",0,0.0435381389149655,0.80051222662056,1.09508581687812,0.0971499518175874
"129",3,"Exp2","IP","linear","part2",0,0.390026526123559,0.706705612485761,1.08350760929514,0.192195072201256
"130",3,"Exp2","IP","log","all",0,0.028583271886267,0.706808191923592,1.06223542914257,0.0838429890451971
"131",3,"Exp2","IP","log","part1",0,0.092648617321265,0.778809938034836,1.09145192002022,0.0645333681747439
"132",3,"Exp2","IP","log","part2",0,0.455333147928807,0.692461329352595,1.09317984772316,0.155938381864419
"133",3,"Exp2","LGM","linear","all",1.00498069308974,0,0,0,0
"134",3,"Exp2","LGM","linear","part1",1.14012197796661,0,0,0,0
"135",3,"Exp2","LGM","linear","part2",0.811435329113581,0,0,0,0
"136",3,"Exp2","LGM","log","all",1.04497154639126,0,0,0,0
"137",3,"Exp2","LGM","log","part1",1.05522885662482,0,0,0,0
"138",3,"Exp2","LGM","log","part2",1.19864627728694,0,0,0,0
"139",3,"Exp2","PIM","linear","all",0.998493980490798,0,0,0,0
"140",3,"Exp2","PIM","linear","part1",1.13854652418763,0,0,0,0
"141",3,"Exp2","PIM","linear","part2",0.809472437725415,0,0,0,0
"142",3,"Exp2","PIM","log","all",1.04336676062041,0,0,0,0
"143",3,"Exp2","PIM","log","part1",1.05752409196475,0,0,0,0
"144",3,"Exp2","PIM","log","part2",1.20068243477933,0,0,0,0
"145",4,"Exp1","DIM","linear","all",1.62524283073733,0,0,0,0
"146",4,"Exp1","DIM","linear","part1",1.62026963247827,0,0,0,0
"147",4,"Exp1","DIM","linear","part2",1.50938205650144,0,0,0,0
"148",4,"Exp1","DIM","log","all",2.11252102374101,0,0,0,0
"149",4,"Exp1","DIM","log","part1",2.13013526572883,0,0,0,0
"150",4,"Exp1","DIM","log","part2",1.69670036598165,0,0,0,0
"151",4,"Exp1","IP","linear","all",0,0.0440810819189687,0.592973318284854,1.51068834637392,0.846320739160044
"152",4,"Exp1","IP","linear","part1",0,0.482955681874791,0.556864240739225,1.65228092210489,0.758071438965235
"153",4,"Exp1","IP","linear","part2",0,0.431159098735143,0.600057914269193,1.4681807581184,0.922464473154688
"154",4,"Exp1","IP","log","all",0,0.0594398544880822,0.566912790488831,1.48549183570944,0.910949471381619
"155",4,"Exp1","IP","log","part1",0,0.813089272243345,0.48767104599032,1.69765232780265,0.906681683322461
"156",4,"Exp1","IP","log","part2",0,0.707175632965279,0.525420572693082,1.42560175081851,1.06932777029864
"157",4,"Exp1","LGM","linear","all",1.93643836342101,0,0,0,0
"158",4,"Exp1","LGM","linear","part1",1.92112048846224,0,0,0,0
"159",4,"Exp1","LGM","linear","part2",1.64024250248865,0,0,0,0
"160",4,"Exp1","LGM","log","all",2.10189466924684,0,0,0,0
"161",4,"Exp1","LGM","log","part1",2.16440250256508,0,0,0,0
"162",4,"Exp1","LGM","log","part2",2.01545733891943,0,0,0,0
"163",4,"Exp1","PIM","linear","all",1.93999678085595,0,0,0,0
"164",4,"Exp1","PIM","linear","part1",1.92196573833344,0,0,0,0
"165",4,"Exp1","PIM","linear","part2",1.64842910902493,0,0,0,0
"166",4,"Exp1","PIM","log","all",2.10541565702546,0,0,0,0
"167",4,"Exp1","PIM","log","part1",2.15275774348222,0,0,0,0
"168",4,"Exp1","PIM","log","part2",2.00709818293048,0,0,0,0
"169",4,"Exp2","DIM","linear","all",2.09741048841496,0,0,0,0
"170",4,"Exp2","DIM","linear","part1",1.80407311809784,0,0,0,0
"171",4,"Exp2","DIM","linear","part2",1.86172317045918,0,0,0,0
"172",4,"Exp2","DIM","log","all",2.26324477759419,0,0,0,0
"173",4,"Exp2","DIM","log","part1",2.15050451657711,0,0,0,0
"174",4,"Exp2","DIM","log","part2",2.09024935993274,0,0,0,0
"175",4,"Exp2","IP","linear","all",0,0.00903762324628861,0.661477720870452,1.80399699936689,0.104908081896468
"176",4,"Exp2","IP","linear","part1",0,0.0228644047620124,0.665150869754638,1.77515074980194,0.222150574877151
"177",4,"Exp2","IP","linear","part2",0,0.600217994739255,0.666917894479647,1.91553412466886,0.325088138642039
"178",4,"Exp2","IP","log","all",0,0.0115634436787193,0.657008647333104,1.76216771696698,0.170760167664115
"179",4,"Exp2","IP","log","part1",0,0.062450935279951,0.670442515429043,1.75702276406832,0.443882377499258
"180",4,"Exp2","IP","log","part2",0,0.886987289257399,0.59144828568198,1.92909040006826,0.637116019240515
"181",4,"Exp2","LGM","linear","all",2.01345573208541,0,0,0,0
"182",4,"Exp2","LGM","linear","part1",1.88328486966833,0,0,0,0
"183",4,"Exp2","LGM","linear","part2",2.00072000447226,0,0,0,0
"184",4,"Exp2","LGM","log","all",2.19378304891444,0,0,0,0
"185",4,"Exp2","LGM","log","part1",2.04636336345405,0,0,0,0
"186",4,"Exp2","LGM","log","part2",2.09790352852477,0,0,0,0
"187",4,"Exp2","PIM","linear","all",2.01298017122246,0,0,0,0
"188",4,"Exp2","PIM","linear","part1",1.88465356260989,0,0,0,0
"189",4,"Exp2","PIM","linear","part2",1.99652958882058,0,0,0,0
"190",4,"Exp2","PIM","log","all",2.19009784064336,0,0,0,0
"191",4,"Exp2","PIM","log","part1",2.05689753627134,0,0,0,0
"192",4,"Exp2","PIM","log","part2",2.10705370587653,0,0,0,0
"193",5,"Exp1","DIM","linear","all",1.01327590784663,0,0,0,0
"194",5,"Exp1","DIM","linear","part1",1.23799175830904,0,0,0,0
"195",5,"Exp1","DIM","linear","part2",1.12113683693728,0,0,0,0
"196",5,"Exp1","DIM","log","all",1.63878496025798,0,0,0,0
"197",5,"Exp1","DIM","log","part1",1.82784669145543,0,0,0,0
"198",5,"Exp1","DIM","log","part2",1.64158798984647,0,0,0,0
"199",5,"Exp1","IP","linear","all",0,0.0246545839683244,0.941381343917882,1.16004510781113,0.432652319318584
"200",5,"Exp1","IP","linear","part1",0,0.020276585680203,0.899099183640357,1.25479918812822,0.5627815846684
"201",5,"Exp1","IP","linear","part2",0,0.0389920719762222,0.940876252357083,1.18491046756451,0.465065636240838
"202",5,"Exp1","IP","log","all",0,0.0788752014057596,0.964169742412203,1.22102509183057,0.279749053785245
"203",5,"Exp1","IP","log","part1",0,0.0693210417497661,0.931245486993327,1.36058352944073,0.612744964727442
"204",5,"Exp1","IP","log","part2",0,0.0944909914176468,0.95727045483262,1.20482859760045,0.413926632514706
"205",5,"Exp1","LGM","linear","all",1.80625795903052,0,0,0,0
"206",5,"Exp1","LGM","linear","part1",1.80058548553761,0,0,0,0
"207",5,"Exp1","LGM","linear","part2",1.62957476603274,0,0,0,0
"208",5,"Exp1","LGM","log","all",2.10887358399833,0,0,0,0
"209",5,"Exp1","LGM","log","part1",2.16809289912137,0,0,0,0
"210",5,"Exp1","LGM","log","part2",2.08688302575633,0,0,0,0
"211",5,"Exp1","PIM","linear","all",1.80319940255169,0,0,0,0
"212",5,"Exp1","PIM","linear","part1",1.79688387302795,0,0,0,0
"213",5,"Exp1","PIM","linear","part2",1.63457247107107,0,0,0,0
"214",5,"Exp1","PIM","log","all",2.11343825649323,0,0,0,0
"215",5,"Exp1","PIM","log","part1",2.1663753269972,0,0,0,0
"216",5,"Exp1","PIM","log","part2",2.08764574024633,0,0,0,0
"217",5,"Exp2","DIM","linear","all",1.50614732414328,0,0,0,0
"218",5,"Exp2","DIM","linear","part1",1.48097316565367,0,0,0,0
"219",5,"Exp2","DIM","linear","part2",1.33561621956949,0,0,0,0
"220",5,"Exp2","DIM","log","all",1.62873831796168,0,0,0,0
"221",5,"Exp2","DIM","log","part1",1.75337211898228,0,0,0,0
"222",5,"Exp2","DIM","log","part2",1.60395636960416,0,0,0,0
"223",5,"Exp2","IP","linear","all",0,0.365437554446432,0.663303061177513,1.52240340812335,0.132442073275634
"224",5,"Exp2","IP","linear","part1",0,0.682946824401504,0.663294490720052,1.49027076902883,0.362996831442895
"225",5,"Exp2","IP","linear","part2",0,0.511784846100092,0.625138313703972,1.44624024758987,0.3952898174678
"226",5,"Exp2","IP","log","all",0,0.50811826158216,0.643674506595331,1.50376641869898,0.121495377859766
"227",5,"Exp2","IP","log","part1",0,0.928295055025364,0.602170323391723,1.4888416704876,0.522510888136421
"228",5,"Exp2","IP","log","part2",0,0.808413485628071,0.544856853689583,1.49632254990278,0.519292485829759
"229",5,"Exp2","LGM","linear","all",1.62560863452301,0,0,0,0
"230",5,"Exp2","LGM","linear","part1",1.65970579922258,0,0,0,0
"231",5,"Exp2","LGM","linear","part2",1.6011752216814,0,0,0,0
"232",5,"Exp2","LGM","log","all",1.76481450391722,0,0,0,0
"233",5,"Exp2","LGM","log","part1",1.83767756280235,0,0,0,0
"234",5,"Exp2","LGM","log","part2",1.81980421699827,0,0,0,0
"235",5,"Exp2","PIM","linear","all",1.62324636325802,0,0,0,0
"236",5,"Exp2","PIM","linear","part1",1.65743564783291,0,0,0,0
"237",5,"Exp2","PIM","linear","part2",1.58877112707171,0,0,0,0
"238",5,"Exp2","PIM","log","all",1.77312856382518,0,0,0,0
"239",5,"Exp2","PIM","log","part1",1.83804994830759,0,0,0,0
"240",5,"Exp2","PIM","log","part2",1.82047267949313,0,0,0,0
"241",6,"Exp1","DIM","linear","all",0.784228404242677,0,0,0,0
"242",6,"Exp1","DIM","linear","part1",1.43340757878537,0,0,0,0
"243",6,"Exp1","DIM","linear","part2",0.819798687589803,0,0,0,0
"244",6,"Exp1","DIM","log","all",1.39953827814753,0,0,0,0
"245",6,"Exp1","DIM","log","part1",1.40143408401172,0,0,0,0
"246",6,"Exp1","DIM","log","part2",1.39578133547475,0,0,0,0
"247",6,"Exp1","IP","linear","all",0,0.0159911226686132,0.862416403353421,1.23276039575332,0.155560866423683
"248",6,"Exp1","IP","linear","part1",0,0.0180500137005054,0.909910051032108,1.24128760168066,0.129290667195706
"249",6,"Exp1","IP","linear","part2",0,0.0168138580465737,0.825357511439302,1.22759717940872,0.227765733149987
"250",6,"Exp1","IP","log","all",0,0.0492527068415127,0.899221767549102,1.23039793531693,0.0772237828892589
"251",6,"Exp1","IP","log","part1",0,0.0523819653272825,0.91954405242896,1.23495100266196,0.0687667766364915
"252",6,"Exp1","IP","log","part2",0,0.0523046706788172,0.872169312389282,1.22089838644863,0.102930295962161
"253",6,"Exp1","LGM","linear","all",1.43201002236893,0,0,0,0
"254",6,"Exp1","LGM","linear","part1",1.45637774007527,0,0,0,0
"255",6,"Exp1","LGM","linear","part2",1.10339218718399,0,0,0,0
"256",6,"Exp1","LGM","log","all",1.44384431514986,0,0,0,0
"257",6,"Exp1","LGM","log","part1",1.43251415458019,0,0,0,0
"258",6,"Exp1","LGM","log","part2",1.45868458692275,0,0,0,0
"259",6,"Exp1","PIM","linear","all",1.430692553176,0,0,0,0
"260",6,"Exp1","PIM","linear","part1",1.45664098427155,0,0,0,0
"261",6,"Exp1","PIM","linear","part2",1.09886542251304,0,0,0,0
"262",6,"Exp1","PIM","log","all",1.4441619493038,0,0,0,0
"263",6,"Exp1","PIM","log","part1",1.43329711096032,0,0,0,0
"264",6,"Exp1","PIM","log","part2",1.46166441256039,0,0,0,0
"265",6,"Exp2","DIM","linear","all",1.43051279137942,0,0,0,0
"266",6,"Exp2","DIM","linear","part1",1.47500252204857,0,0,0,0
"267",6,"Exp2","DIM","linear","part2",1.38250954475997,0,0,0,0
"268",6,"Exp2","DIM","log","all",1.45507994598328,0,0,0,0
"269",6,"Exp2","DIM","log","part1",1.50021199023103,0,0,0,0
"270",6,"Exp2","DIM","log","part2",1.41690522730594,0,0,0,0
"271",6,"Exp2","IP","linear","all",0,0.0182639528218916,0.990953614701229,1.33897340562013,0.116397656244744
"272",6,"Exp2","IP","linear","part1",0,0.02406316488231,0.974952771502707,1.39436541800695,0.141863929815321
"273",6,"Exp2","IP","linear","part2",0,0.0154073083854704,0.988828776948783,1.23542884372227,0.158836688790932
"274",6,"Exp2","IP","log","all",0,0.0539124570679437,0.982683957339954,1.35650720012657,0.0985025424022677
"275",6,"Exp2","IP","log","part1",0,0.0714939861677376,0.95770956148525,1.41001135253033,0.105602988586186
"276",6,"Exp2","IP","log","part2",0,0.0510745000241501,0.982020353503951,1.27475012353766,0.118469638647425
"277",6,"Exp2","LGM","linear","all",1.43685345847124,0,0,0,0
"278",6,"Exp2","LGM","linear","part1",1.48067844295708,0,0,0,0
"279",6,"Exp2","LGM","linear","part2",1.38773116268168,0,0,0,0
"280",6,"Exp2","LGM","log","all",1.50174479103528,0,0,0,0
"281",6,"Exp2","LGM","log","part1",1.55548852621458,0,0,0,0
"282",6,"Exp2","LGM","log","part2",1.46071966080096,0,0,0,0
"283",6,"Exp2","PIM","linear","all",1.43654104435684,0,0,0,0
"284",6,"Exp2","PIM","linear","part1",1.48062655631042,0,0,0,0
"285",6,"Exp2","PIM","linear","part2",1.38766195419324,0,0,0,0
"286",6,"Exp2","PIM","log","all",1.50111345379805,0,0,0,0
"287",6,"Exp2","PIM","log","part1",1.55533940223712,0,0,0,0
"288",6,"Exp2","PIM","log","part2",1.45929472227659,0,0,0,0
"289",7,"Exp1","DIM","linear","all",1.91387608937562,0,0,0,0
"290",7,"Exp1","DIM","linear","part1",1.82127517809931,0,0,0,0
"291",7,"Exp1","DIM","linear","part2",1.6156231950338,0,0,0,0
"292",7,"Exp1","DIM","log","all",2.30002536720018,0,0,0,0
"293",7,"Exp1","DIM","log","part1",2.26709868185825,0,0,0,0
"294",7,"Exp1","DIM","log","part2",2.24231924052782,0,0,0,0
"295",7,"Exp1","IP","linear","all",0,0.0378401205488935,0.975731763598721,2.09546282974995,0.298921828419881
"296",7,"Exp1","IP","linear","part1",0,0.465447841971813,0.802954645340227,2.08376633072641,0.236559403799773
"297",7,"Exp1","IP","linear","part2",0,0.108310682016738,0.954884847401577,1.83997143947905,0.826463850367809
"298",7,"Exp1","IP","log","all",0,0.100008280430069,0.974859101036863,2.06423286371368,0.560293334686031
"299",7,"Exp1","IP","log","part1",0,0.682698238191434,0.791373816484332,2.0732698651863,0.392579838041006
"300",7,"Exp1","IP","log","part2",0,0.139631262338387,0.964397442666406,1.83331860510711,1.10286457701989
"301",7,"Exp1","LGM","linear","all",2.11705382755184,0,0,0,0
"302",7,"Exp1","LGM","linear","part1",2.13924217540404,0,0,0,0
"303",7,"Exp1","LGM","linear","part2",2.10934528192586,0,0,0,0
"304",7,"Exp1","LGM","log","all",2.32153413427182,0,0,0,0
"305",7,"Exp1","LGM","log","part1",2.25076729471949,0,0,0,0
"306",7,"Exp1","LGM","log","part2",2.29012002256543,0,0,0,0
"307",7,"Exp1","PIM","linear","all",2.11406839755078,0,0,0,0
"308",7,"Exp1","PIM","linear","part1",2.14007870557891,0,0,0,0
"309",7,"Exp1","PIM","linear","part2",2.11046120041184,0,0,0,0
"310",7,"Exp1","PIM","log","all",2.32806717878158,0,0,0,0
"311",7,"Exp1","PIM","log","part1",2.25688897537408,0,0,0,0
"312",7,"Exp1","PIM","log","part2",2.28360848667473,0,0,0,0
"313",7,"Exp2","DIM","linear","all",0.636865203333999,0,0,0,0
"314",7,"Exp2","DIM","linear","part1",0.661938698347256,0,0,0,0
"315",7,"Exp2","DIM","linear","part2",0.756686712071085,0,0,0,0
"316",7,"Exp2","DIM","log","all",0.88328757565296,0,0,0,0
"317",7,"Exp2","DIM","log","part1",0.888280013000537,0,0,0,0
"318",7,"Exp2","DIM","log","part2",0.878772184209442,0,0,0,0
"319",7,"Exp2","IP","linear","all",0,0.0151067171212159,0.806716914047036,1.16658617763983,0.0627989289433289
"320",7,"Exp2","IP","linear","part1",0,0.0309000693284024,0.858434927558137,1.13237374067548,0.0831501564765498
"321",7,"Exp2","IP","linear","part2",0,0.0177600433887289,0.809317677477056,1.18346466137404,0.05756919958767
"322",7,"Exp2","IP","log","all",0,0.0360251499514313,0.838490880968438,1.14163036057796,0.0428231311513133
"323",7,"Exp2","IP","log","part1",0,0.0572944032666478,0.879196932769676,1.12258770907203,0.0527419771070408
"324",7,"Exp2","IP","log","part2",0,0.0427259311901185,0.844193381763014,1.16184332971808,0.0390481819644459
"325",7,"Exp2","LGM","linear","all",0.962366083706407,0,0,0,0
"326",7,"Exp2","LGM","linear","part1",0.878281946459971,0,0,0,0
"327",7,"Exp2","LGM","linear","part2",0.959611074372817,0,0,0,0
"328",7,"Exp2","LGM","log","all",0.847526443366943,0,0,0,0
"329",7,"Exp2","LGM","log","part1",0.850294043053432,0,0,0,0
"330",7,"Exp2","LGM","log","part2",0.844394417141751,0,0,0,0
"331",7,"Exp2","PIM","linear","all",0.964129255903236,0,0,0,0
"332",7,"Exp2","PIM","linear","part1",0.882962108921383,0,0,0,0
"333",7,"Exp2","PIM","linear","part2",0.9572928260934,0,0,0,0
"334",7,"Exp2","PIM","log","all",0.847229592089672,0,0,0,0
"335",7,"Exp2","PIM","log","part1",0.849884599009067,0,0,0,0
"336",7,"Exp2","PIM","log","part2",0.846096469409009,0,0,0,0
"337",8,"Exp1","DIM","linear","all",1.370362336444,0,0,0,0
"338",8,"Exp1","DIM","linear","part1",1.45562654390691,0,0,0,0
"339",8,"Exp1","DIM","linear","part2",1.29109869614255,0,0,0,0
"340",8,"Exp1","DIM","log","all",1.28988478122247,0,0,0,0
"341",8,"Exp1","DIM","log","part1",1.40175569001697,0,0,0,0
