"","id","trialnum","NSub","targetDur","RP","Exp","group","model","W_P_G","mu_r","sig_r","predY","W_DL_PL","sig2_DL","log_lik","W_L","W_Ds","W_P_S","W_P_L","part"
"3878",42,393,13,0.7328,1.04386627579879,"Exp2","mixed","IP",0,0.922245665635892,0.153891759666127,0.921486637008127,0.930469055231619,0,0.465623285007899,0.930469055231619,0.0695309447683808,0.930469055231619,0.930469055231619,"part1"
"3879",43,394,13,1.954332247557,1.09463037848946,"Exp2","mixed","IP",0,1.36981086384335,0.303950943678692,1.37134295191148,0.870490742013003,0,-0.215554382207823,0.870490742013003,0.129509257986997,0.870490742013003,0.870490742013003,"part1"
"3880",44,396,13,1.44778166151097,1.06423769079993,"Exp2","mixed","IP",0,1.31774303777151,0.292211788625668,1.32026601264658,0.870490742013003,0,-0.18247833558581,0.870490742013003,0.129509257986997,0.870490742013003,0.870490742013003,"part1"
"3881",45,397,13,0.4912,0.824739052719451,"Exp2","mixed","IP",0,0.897028550431315,0.149834381196458,0.895695594732203,0.930469055231619,0,0.489279595332119,0.930469055231619,0.0695309447683808,0.930469055231619,0.930469055231619,"part1"
"3882",46,398,13,1.954332247557,1.25189537641745,"Exp2","mixed","IP",0,1.36981086384335,0.303950943678692,1.36960024509574,0.870490742013003,0,-0.222738815967761,0.870490742013003,0.129509257986997,0.870490742013003,0.870490742013003,"part1"
"3883",47,399,13,1.31,1.39568200611211,"Exp2","mixed","IP",0,1.30086620663845,0.288413870260018,1.30087774730185,0.870490742013003,0,-0.169375253365348,0.870490742013003,0.129509257986997,0.870490742013003,0.870490742013003,"part1"
"3884",48,400,13,0.663061306494331,1.20031306424244,"Exp2","mixed","IP",0,0.915867764958929,0.152863804748094,0.916196715709411,0.930469055231619,0,0.469724880017273,0.930469055231619,0.0695309447683808,0.930469055231619,0.930469055231619,"part1"
"3885",49,401,13,0.4912,1.02114519876886,"Exp2","mixed","IP",0,0.897028550431315,0.149834381196458,0.898276612381411,0.930469055231619,0,0.493452436130522,0.930469055231619,0.0695309447683808,0.930469055231619,0.930469055231619,"part1"
"3886",50,402,13,0.7328,1.01113714127314,"Exp2","mixed","IP",0,0.922245665635892,0.153891759666127,0.923096664125091,0.930469055231619,0,0.461697481728632,0.930469055231619,0.0695309447683808,0.930469055231619,0.930469055231619,"part1"
"3887",51,403,13,0.542862864224572,0.70991220578253,"Exp2","mixed","IP",0,0.903259636841583,0.150835195938062,0.903257376656065,0.930469055231619,0,0.481860493811163,0.930469055231619,0.0695309447683808,0.930469055231619,0.930469055231619,"part1"
"3888",52,404,13,0.663061306494331,0.76209977398139,"Exp2","mixed","IP",0,0.915867764958929,0.152863804748094,0.915932075079768,0.930469055231619,0,0.471907844484499,0.930469055231619,0.0695309447683808,0.930469055231619,0.930469055231619,"part1"
"3889",53,406,13,1.60005476290647,0.970641246667583,"Exp2","mixed","IP",0,1.33485699548113,0.296066674426161,1.33423918734825,0.870490742013003,0,-0.197402259851873,0.870490742013003,0.129509257986997,0.870490742013003,0.870490742013003,"part1"
